month,product_id,provider_id,units_sold,units_returned,orders,gross_revenue_eur,discount_eur,net_revenue_eur,page_views,add_to_cart
2025-05,SKU-001-008,PRV-001,681,79,681,33334.95,2228.56,31106.39,21299,1226
2025-05,SKU-001-009,PRV-001,568,67,568,20987.6,1186.94,19800.66,23592,1534
2025-05,SKU-001-010,PRV-001,164,17,164,6551.8,396.23,6155.57,6849,873
2025-05,SKU-001-011,PRV-001,377,42,377,66333.15,3396.63,62936.52,21273,2057
2025-05,SKU-001-012,PRV-001,223,25,223,9800.85,626.68,9174.17,6819,490
2025-05,SKU-001-013,PRV-001,102,12,102,17946.9,1213.62,16733.28,3221,415
2025-05,SKU-001-014,PRV-001,389,47,389,19819.55,1027.29,18792.26,17821,1000
2025-05,SKU-001-015,PRV-001,783,73,783,64166.85,3906.26,60260.59,25283,3114
2025-05,SKU-001-017,PRV-001,504,51,504,77086.8,4319.63,72767.17,29224,1961
2025-05,SKU-001-018,PRV-001,100,9,100,13695.0,822.25,12872.75,4903,354
2025-05,SKU-001-019,PRV-001,250,27,250,22987.5,1525.09,21462.41,6732,651
2025-05,SKU-001-020,PRV-001,450,49,450,16627.5,1016.65,15610.85,19399,1289
2025-05,SKU-001-022,PRV-001,113,13,113,13893.35,943.8,12949.55,4732,291
2025-05,SKU-001-023,PRV-001,258,31,258,24239.1,1545.76,22693.34,14411,1942
2025-05,SKU-001-024,PRV-001,387,38,387,19330.65,1238.19,18092.46,20394,1935
2025-05,SKU-001-025,PRV-001,71,7,71,10930.45,571.19,10359.26,4035,466
2025-05,SKU-001-027,PRV-001,74,9,74,10430.3,628.93,9801.37,1988,241
2025-05,SKU-001-028,PRV-001,445,55,445,27122.75,1635.22,25487.53,9813,1223
2025-05,SKU-001-029,PRV-001,89,9,89,4178.55,240.24,3938.31,3874,254
2025-05,SKU-001-031,PRV-001,140,15,140,10773.0,629.01,10143.99,5531,694
2025-05,SKU-001-033,PRV-001,594,64,594,104514.3,6042.7,98471.6,25109,2274
2025-06,SKU-001-001,PRV-001,269,30,269,35763.55,2011.39,33752.16,14798,1766
2025-06,SKU-001-002,PRV-001,163,17,163,8467.85,496.32,7971.53,6205,743
2025-06,SKU-001-003,PRV-001,256,27,256,9459.2,520.38,8938.82,5678,448
2025-06,SKU-001-004,PRV-001,475,56,475,46526.25,3038.36,43487.89,12796,717
2025-06,SKU-001-005,PRV-001,759,63,759,27286.05,1533.93,25752.12,19588,2057
2025-06,SKU-001-006,PRV-001,370,37,370,12561.5,771.08,11790.42,9945,566
2025-06,SKU-001-007,PRV-001,192,24,192,16502.4,946.17,15556.23,4657,337
2025-06,SKU-001-008,PRV-001,588,62,588,28782.6,1511.42,27271.18,16568,970
2025-06,SKU-001-009,PRV-001,564,56,564,20839.8,1314.31,19525.49,17894,1450
2025-06,SKU-001-010,PRV-001,187,19,187,7470.65,484.15,6986.5,7983,924
2025-06,SKU-001-011,PRV-001,117,12,117,20586.15,1305.26,19280.89,3703,326
2025-06,SKU-001-012,PRV-001,191,22,191,8394.45,453.02,7941.43,4531,556
2025-06,SKU-001-013,PRV-001,155,20,155,27272.25,1683.98,25588.27,3578,278
2025-06,SKU-001-014,PRV-001,416,43,416,21195.2,1272.33,19922.87,10572,1149
2025-06,SKU-001-015,PRV-001,558,68,558,45728.1,2406.38,43321.72,22338,2976
2025-06,SKU-001-017,PRV-001,537,56,537,82134.15,5459.28,76674.87,17544,974
2025-06,SKU-001-018,PRV-001,83,7,83,11366.85,656.29,10710.56,4362,257
2025-06,SKU-001-019,PRV-001,275,28,275,25286.25,1690.76,23595.49,11229,650
2025-06,SKU-001-020,PRV-001,485,46,485,17920.75,1235.17,16685.58,21238,1295
2025-06,SKU-001-022,PRV-001,91,10,91,11188.45,617.29,10571.16,4718,597
2025-06,SKU-001-023,PRV-001,266,35,266,24990.7,1475.05,23515.65,7598,805
2025-06,SKU-001-024,PRV-001,503,57,503,25124.85,1401.19,23723.66,21114,2407
2025-06,SKU-001-025,PRV-001,90,10,90,13855.5,858.64,12996.86,3475,256
2025-06,SKU-001-027,PRV-001,75,8,75,10571.25,596.35,9974.9,4278,454
2025-06,SKU-001-028,PRV-001,567,59,567,34558.65,1897.14,32661.51,14923,1182
2025-06,SKU-001-029,PRV-001,113,14,113,5305.35,278.08,5027.27,4620,302
2025-06,SKU-001-031,PRV-001,109,11,109,8387.55,518.87,7868.68,4627,544
2025-06,SKU-001-033,PRV-001,544,70,544,95716.8,5252.35,90464.45,26561,3356
2025-07,SKU-001-001,PRV-001,323,32,323,42942.85,7170.4,35772.45,18586,1144
2025-07,SKU-001-002,PRV-001,227,22,227,11792.65,2236.6,9556.05,8843,1009
2025-07,SKU-001-003,PRV-001,226,24,226,8350.7,1767.76,6582.94,5387,678
2025-07,SKU-001-004,PRV-001,374,34,374,36633.3,6509.68,30123.62,11747,1539
2025-07,SKU-001-005,PRV-001,509,49,509,18298.55,3660.12,14638.43,15609,1940
2025-07,SKU-001-006,PRV-001,364,43,364,12357.8,2575.01,9782.79,10823,1334
2025-07,SKU-001-007,PRV-001,163,19,163,14009.85,2695.97,11313.88,9117,1166
2025-07,SKU-001-008,PRV-001,630,70,630,30838.5,6632.8,24205.7,16992,1668
2025-07,SKU-001-009,PRV-001,519,57,519,19177.05,3723.09,15453.96,11647,1189
2025-07,SKU-001-010,PRV-001,149,18,149,5952.55,1185.65,4766.9,4932,398
2025-07,SKU-001-011,PRV-001,283,31,283,49793.85,8394.98,41398.87,6396,425
2025-07,SKU-001-012,PRV-001,148,14,148,6504.6,1137.13,5367.47,8187,859
2025-07,SKU-001-013,PRV-001,110,11,110,19354.5,3645.16,15709.34,3965,287
2025-07,SKU-001-014,PRV-001,320,36,320,16304.0,2716.8,13587.2,15820,1498
2025-07,SKU-001-015,PRV-001,731,69,731,59905.45,12736.02,47169.43,35593,4330
2025-07,SKU-001-017,PRV-001,383,40,383,58579.85,10501.73,48078.12,18524,1830
2025-07,SKU-001-018,PRV-001,104,9,104,14242.8,2408.9,11833.9,3581,252
2025-07,SKU-001-019,PRV-001,222,23,222,20412.9,4193.61,16219.29,11044,1192
2025-07,SKU-001-020,PRV-001,406,57,406,15001.7,2889.06,12112.64,11092,1018
2025-07,SKU-001-022,PRV-001,94,10,94,11557.3,2390.69,9166.61,4467,312
2025-07,SKU-001-023,PRV-001,317,34,317,29782.15,5848.1,23934.05,9586,1282
2025-07,SKU-001-024,PRV-001,487,56,487,24325.65,4367.39,19958.26,11889,1214
2025-07,SKU-001-025,PRV-001,133,16,133,20475.35,4094.83,16380.52,3213,295
2025-07,SKU-001-027,PRV-001,89,12,89,12544.55,2275.11,10269.44,5156,631
2025-07,SKU-001-028,PRV-001,426,52,426,25964.7,4951.14,21013.56,22375,2835
2025-07,SKU-001-029,PRV-001,79,8,79,3709.05,643.3,3065.75,1827,203
2025-07,SKU-001-031,PRV-001,93,13,93,7156.35,1305.45,5850.9,2425,156
2025-07,SKU-001-032,PRV-001,62,6,62,4212.9,904.64,3308.26,2076,257
2025-07,SKU-001-033,PRV-001,668,71,668,117534.6,24594.25,92940.35,18759,1935
2025-08,SKU-001-001,PRV-001,281,32,281,37358.95,2192.35,35166.6,6535,634
2025-08,SKU-001-002,PRV-001,189,18,189,9818.55,505.95,9312.6,9283,788
2025-08,SKU-001-003,PRV-001,258,34,258,9533.1,544.79,8988.31,8862,711
2025-08,SKU-001-004,PRV-001,389,41,389,38102.55,2605.37,35497.18,13475,1363
2025-08,SKU-001-005,PRV-001,686,67,686,24661.7,1320.61,23341.09,23424,2128
2025-08,SKU-001-006,PRV-001,305,31,305,10354.75,605.32,9749.43,16356,1012
2025-08,SKU-001-007,PRV-001,200,27,200,17190.0,1076.88,16113.12,10939,1356
2025-08,SKU-001-008,PRV-001,505,55,505,24719.75,1570.01,23149.74,22229,2355
2025-08,SKU-001-009,PRV-001,679,68,679,25089.05,1728.16,23360.89,36290,4852
2025-08,SKU-001-010,PRV-001,196,18,196,7830.2,472.71,7357.49,5940,616
2025-08,SKU-001-011,PRV-001,311,37,311,54720.45,2899.22,51821.23,10596,1421
2025-08,SKU-001-012,PRV-001,172,22,172,7559.4,399.48,7159.92,7639,671
