month,provider_id,provider_name,shipments_expected,shipments_on_time,shipments_late,otif_pct,avg_delay_days,asn_error_count,quality_reject_pct
2024-10,PRV-004,Maison Rive,14,13,1,92.9,3.0,2,0.5
2024-11,PRV-004,Maison Rive,17,15,2,88.2,2.2,1,0.75
2024-12,PRV-004,Maison Rive,15,14,1,93.3,2.3,0,0.24
2025-01,PRV-004,Maison Rive,13,12,1,92.3,2.4,1,0.43
2025-02,PRV-004,Maison Rive,15,14,1,93.3,2.3,2,0.56
2025-03,PRV-004,Maison Rive,12,12,0,100.0,0.0,1,0.35
2025-04,PRV-004,Maison Rive,12,11,1,91.7,2.7,0,0.59
2025-05,PRV-004,Maison Rive,18,16,2,88.9,1.0,0,0.75
2025-06,PRV-004,Maison Rive,13,12,1,92.3,2.4,0,0.35
2025-07,PRV-004,Maison Rive,10,9,1,90.0,3.7,0,0.47
2025-08,PRV-004,Maison Rive,13,13,0,100.0,0.0,1,0.94
2025-09,PRV-004,Maison Rive,15,14,1,93.3,2.4,1,0.41
2025-10,PRV-004,Maison Rive,18,16,2,88.9,2.2,1,0.11
2025-11,PRV-004,Maison Rive,18,16,2,88.9,2.6,0,0.25
2025-12,PRV-004,Maison Rive,18,18,0,100.0,0.0,2,0.75
2026-01,PRV-004,Maison Rive,9,9,0,100.0,0.0,1,0.31
2026-02,PRV-004,Maison Rive,11,11,0,100.0,0.0,0,0.59
2026-03,PRV-004,Maison Rive,15,14,1,93.3,3.2,0,0.95
2026-04,PRV-004,Maison Rive,10,10,0,100.0,0.0,1,0.07
2026-05,PRV-004,Maison Rive,16,15,1,93.8,1.4,1,0.34
2026-06,PRV-004,Maison Rive,14,13,1,92.9,1.7,1,0.49
2026-07,PRV-004,Maison Rive,16,15,1,93.8,2.6,1,0.17
2026-08,PRV-004,Maison Rive,15,14,1,93.3,1.8,2,0.11
2024-09,PRV-005,Bloomwell,18,17,1,94.4,4.1,0,0.13
2024-10,PRV-005,Bloomwell,18,17,1,94.4,2.7,1,0.67
2024-11,PRV-005,Bloomwell,23,22,1,95.7,1.6,1,0.45
2024-12,PRV-005,Bloomwell,19,18,1,94.7,4.3,0,0.21
2025-01,PRV-005,Bloomwell,16,15,1,93.8,3.8,1,0.29
2025-02,PRV-005,Bloomwell,19,19,0,100.0,0.0,0,0.55
2025-03,PRV-005,Bloomwell,19,18,1,94.7,2.3,1,1.28
2025-04,PRV-005,Bloomwell,18,17,1,94.4,2.0,0,0.24
2025-05,PRV-005,Bloomwell,17,16,1,94.1,2.0,1,0.59
2025-06,PRV-005,Bloomwell,18,17,1,94.4,2.4,1,0.98
2025-07,PRV-005,Bloomwell,16,15,1,93.8,2.1,1,1.04
2025-08,PRV-005,Bloomwell,20,20,0,100.0,0.0,1,0.44
2025-09,PRV-005,Bloomwell,18,17,1,94.4,3.0,1,0.07
2025-10,PRV-005,Bloomwell,17,16,1,94.1,2.9,1,0.93
2025-11,PRV-005,Bloomwell,26,24,2,92.3,0.7,1,0.76
2025-12,PRV-005,Bloomwell,22,21,1,95.5,2.5,0,0.43
2026-01,PRV-005,Bloomwell,19,19,0,100.0,0.0,0,0.91
2026-02,PRV-005,Bloomwell,15,15,0,100.0,0.0,1,0.4
2026-03,PRV-005,Bloomwell,17,16,1,94.1,2.2,0,0.45
2026-04,PRV-005,Bloomwell,20,20,0,100.0,0.0,1,0.75
2026-05,PRV-005,Bloomwell,23,22,1,95.7,1.8,2,0.49
2026-06,PRV-005,Bloomwell,20,20,0,100.0,0.0,0,1.49
2026-07,PRV-005,Bloomwell,17,17,0,100.0,0.0,1,0.59
2026-08,PRV-005,Bloomwell,20,19,1,95.0,1.9,1,0.0
2024-09,PRV-006,Tessuto Milano,19,17,2,89.5,3.2,0,0.76
2024-10,PRV-006,Tessuto Milano,22,19,3,86.4,2.9,1,1.18
2024-11,PRV-006,Tessuto Milano,24,23,1,95.8,2.1,0,0.69
2024-12,PRV-006,Tessuto Milano,24,22,2,91.7,4.0,0,1.6
2025-01,PRV-006,Tessuto Milano,19,18,1,94.7,3.2,1,0.83
2025-02,PRV-006,Tessuto Milano,15,14,1,93.3,3.4,0,1.14
2025-03,PRV-006,Tessuto Milano,13,12,1,92.3,1.9,1,0.49
2025-04,PRV-006,Tessuto Milano,10,9,1,90.0,1.9,1,0.96
2025-05,PRV-006,Tessuto Milano,8,7,1,87.5,3.1,1,1.03
2025-06,PRV-006,Tessuto Milano,8,7,1,87.5,2.1,0,0.99
2025-07,PRV-006,Tessuto Milano,8,7,1,87.5,3.8,1,1.33
2025-08,PRV-006,Tessuto Milano,12,11,1,91.7,2.4,0,0.81
2025-09,PRV-006,Tessuto Milano,19,17,2,89.5,2.9,1,1.47
2025-10,PRV-006,Tessuto Milano,24,22,2,91.7,4.0,0,0.53
2025-11,PRV-006,Tessuto Milano,24,23,1,95.8,3.9,0,1.18
2025-12,PRV-006,Tessuto Milano,27,25,2,92.6,2.9,0,0.7
2026-01,PRV-006,Tessuto Milano,17,15,2,88.2,3.9,1,1.18
2026-02,PRV-006,Tessuto Milano,17,16,1,94.1,1.4,2,0.71
2026-03,PRV-006,Tessuto Milano,14,13,1,92.9,2.5,0,0.73
2026-04,PRV-006,Tessuto Milano,9,9,0,100.0,0.0,0,0.6
2026-05,PRV-006,Tessuto Milano,10,9,1,90.0,2.5,2,0.72
2026-06,PRV-006,Tessuto Milano,11,10,1,90.9,3.1,0,1.31
2026-07,PRV-006,Tessuto Milano,8,8,0,100.0,0.0,3,0.62
2026-08,PRV-006,Tessuto Milano,13,12,1,92.3,0.5,0,0.0
2024-09,PRV-007,Kappler & Sohn,14,14,0,100.0,0.0,0,1.39
2024-10,PRV-007,Kappler & Sohn,16,15,1,93.8,1.5,1,0.61
2024-11,PRV-007,Kappler & Sohn,22,20,2,90.9,2.7,1,0.57
2024-12,PRV-007,Kappler & Sohn,23,22,1,95.7,1.4,1,0.88
2025-01,PRV-007,Kappler & Sohn,18,17,1,94.4,3.3,1,0.93
2025-02,PRV-007,Kappler & Sohn,12,11,1,91.7,2.1,0,0.41
2025-03,PRV-007,Kappler & Sohn,13,12,1,92.3,2.0,1,0.66
2025-04,PRV-007,Kappler & Sohn,9,9,0,100.0,0.0,1,0.9
2025-05,PRV-007,Kappler & Sohn,8,8,0,100.0,0.0,1,1.02
2025-06,PRV-007,Kappler & Sohn,9,8,1,88.9,4.8,0,0.7
2025-07,PRV-007,Kappler & Sohn,8,8,0,100.0,0.0,0,0.87
2025-08,PRV-007,Kappler & Sohn,13,12,1,92.3,3.0,0,0.55
2025-09,PRV-007,Kappler & Sohn,16,15,1,93.8,2.3,0,1.18
2025-10,PRV-007,Kappler & Sohn,21,20,1,95.2,1.6,0,0.58
2025-11,PRV-007,Kappler & Sohn,24,22,2,91.7,2.9,0,1.36
2025-12,PRV-007,Kappler & Sohn,22,20,2,90.9,3.9,1,0.99
2026-01,PRV-007,Kappler & Sohn,16,15,1,93.8,1.3,0,0.77
2026-02,PRV-007,Kappler & Sohn,14,13,1,92.9,2.7,2,0.66
2026-03,PRV-007,Kappler & Sohn,15,14,1,93.3,3.4,1,0.55
2026-04,PRV-007,Kappler & Sohn,10,9,1,90.0,3.1,1,1.04
2026-05,PRV-007,Kappler & Sohn,9,9,0,100.0,0.0,1,1.05
2026-06,PRV-007,Kappler & Sohn,8,7,1,87.5,2.7,1,0.69
2026-07,PRV-007,Kappler & Sohn,11,10,1,90.9,2.4,2,0.53
2026-08,PRV-007,Kappler & Sohn,8,7,1,87.5,2.9,0,1.4
2024-09,PRV-008,Lumen Athletics,19,17,2,89.5,4.3,0,0.31
2024-10,PRV-008,Lumen Athletics,16,14,2,87.5,1.9,1,0.72
2024-11,PRV-008,Lumen Athletics,22,19,3,86.4,2.3,1,1.23
2024-12,PRV-008,Lumen Athletics,21,19,2,90.5,2.8,2,1.16
2025-01,PRV-008,Lumen Athletics,23,21,2,91.3,1.5,1,0.76
2025-02,PRV-008,Lumen Athletics,22,20,2,90.9,2.5,1,0.98
2025-03,PRV-008,Lumen Athletics,20,17,3,85.0,4.7,1,0.89
2025-04,PRV-008,Lumen Athletics,18,16,2,88.9,1.7,0,1.46
2025-05,PRV-008,Lumen Athletics,16,14,2,87.5,3.6,1,0.71
2025-06,PRV-008,Lumen Athletics,14,12,2,85.7,3.1,2,0.77
2025-07,PRV-008,Lumen Athletics,13,11,2,84.6,3.6,1,1.25
2025-08,PRV-008,Lumen Athletics,15,13,2,86.7,2.6,1,0.94
2025-09,PRV-008,Lumen Athletics,18,15,3,83.3,3.8,1,0.69
2025-10,PRV-008,Lumen Athletics,21,18,3,85.7,1.9,2,1.53
2025-11,PRV-008,Lumen Athletics,21,18,3,85.7,2.0,1,0.78
2025-12,PRV-008,Lumen Athletics,21,18,3,85.7,2.0,2,1.01
2026-01,PRV-008,Lumen Athletics,23,20,3,87.0,1.9,0,0.75
2026-02,PRV-008,Lumen Athletics,23,21,2,91.3,3.5,0,1.25
2026-03,PRV-008,Lumen Athletics,16,14,2,87.5,2.3,1,0.94
2026-04,PRV-008,Lumen Athletics,18,16,2,88.9,1.4,1,1.27
2026-05,PRV-008,Lumen Athletics,19,17,2,89.5,3.7,3,0.29
2026-06,PRV-008,Lumen Athletics,16,14,2,87.5,1.8,1,0.79
2026-07,PRV-008,Lumen Athletics,16,15,1,93.8,2.1,1,1.34
2026-08,PRV-008,Lumen Athletics,13,11,2,84.6,2.2,1,1.43
2024-09,PRV-009,Vela Denim,24,22,2,91.7,2.6,0,0.69
2024-10,PRV-009,Vela Denim,19,18,1,94.7,3.0,1,0.99
2024-11,PRV-009,Vela Denim,24,23,1,95.8,1.6,2,0.72
2024-12,PRV-009,Vela Denim,20,19,1,95.0,1.9,0,0.35
2025-01,PRV-009,Vela Denim,17,16,1,94.1,2.6,1,0.93
2025-02,PRV-009,Vela Denim,18,17,1,94.4,2.9,0,0.38
2025-03,PRV-009,Vela Denim,17,16,1,94.1,4.2,1,0.53
2025-04,PRV-009,Vela Denim,19,18,1,94.7,3.4,1,0.33
2025-05,PRV-009,Vela Denim,23,21,2,91.3,3.0,0,0.54
2025-06,PRV-009,Vela Denim,23,22,1,95.7,2.0,1,0.69
2025-07,PRV-009,Vela Denim,17,16,1,94.1,4.8,1,0.1
2025-08,PRV-009,Vela Denim,22,20,2,90.9,3.3,1,0.98
2025-09,PRV-009,Vela Denim,27,25,2,92.6,3.7,2,0.39
2025-10,PRV-009,Vela Denim,23,21,2,91.3,2.2,0,1.24
2025-11,PRV-009,Vela Denim,18,16,2,88.9,2.9,0,0.61
2025-12,PRV-009,Vela Denim,22,21,1,95.5,2.7,1,0.53
2026-01,PRV-009,Vela Denim,16,15,1,93.8,2.8,0,0.95
2026-02,PRV-009,Vela Denim,16,15,1,93.8,3.5,0,0.91
2026-03,PRV-009,Vela Denim,19,17,2,89.5,1.5,0,0.72
2026-04,PRV-009,Vela Denim,17,17,0,100.0,0.0,1,1.02
2026-05,PRV-009,Vela Denim,20,19,1,95.0,1.6,0,0.0
2026-06,PRV-009,Vela Denim,15,15,0,100.0,0.0,2,0.54
2026-07,PRV-009,Vela Denim,12,11,1,91.7,2.4,1,0.78
2026-08,PRV-009,Vela Denim,21,20,1,95.2,4.4,1,0.79
2024-09,PRV-010,Sable & Stone,14,14,0,100.0,0.0,1,0.76
2024-10,PRV-010,Sable & Stone,16,15,1,93.8,2.9,0,0.59
2024-11,PRV-010,Sable & Stone,21,20,1,95.2,1.3,0,0.33
2024-12,PRV-010,Sable & Stone,18,17,1,94.4,1.3,0,0.06
2025-01,PRV-010,Sable & Stone,18,17,1,94.4,3.5,2,0.6
2025-02,PRV-010,Sable & Stone,13,13,0,100.0,0.0,1,0.0
2025-03,PRV-010,Sable & Stone,16,15,1,93.8,2.6,1,1.18
2025-04,PRV-010,Sable & Stone,15,15,0,100.0,0.0,0,0.66
2025-05,PRV-010,Sable & Stone,15,14,1,93.3,3.9,1,0.49
2025-06,PRV-010,Sable & Stone,17,16,1,94.1,3.0,0,0.2
2025-07,PRV-010,Sable & Stone,12,11,1,91.7,1.4,0,1.02
2025-08,PRV-010,Sable & Stone,17,16,1,94.1,4.4,0,0.53
2025-09,PRV-010,Sable & Stone,17,17,0,100.0,0.0,1,0.5
2025-10,PRV-010,Sable & Stone,19,18,1,94.7,2.5,2,0.77
2025-11,PRV-010,Sable & Stone,22,21,1,95.5,1.5,1,0.13
2025-12,PRV-010,Sable & Stone,15,14,1,93.3,2.4,0,0.54
2026-01,PRV-010,Sable & Stone,17,16,1,94.1,1.5,0,0.26
2026-02,PRV-010,Sable & Stone,13,13,0,100.0,0.0,1,0.64
2026-03,PRV-010,Sable & Stone,18,18,0,100.0,0.0,1,0.7
2026-04,PRV-010,Sable & Stone,14,13,1,92.9,3.8,1,0.0
2026-05,PRV-010,Sable & Stone,15,15,0,100.0,0.0,1,0.37
2026-06,PRV-010,Sable & Stone,16,16,0,100.0,0.0,0,0.21
2026-07,PRV-010,Sable & Stone,14,14,0,100.0,0.0,1,0.31
2026-08,PRV-010,Sable & Stone,15,15,0,100.0,0.0,1,0.67
2024-09,PRV-011,Kyoto Line,11,11,0,100.0,0.0,1,0.0
2024-10,PRV-011,Kyoto Line,11,11,0,100.0,0.0,0,0.74
2024-11,PRV-011,Kyoto Line,11,10,1,90.9,3.3,1,0.22
2024-12,PRV-011,Kyoto Line,14,14,0,100.0,0.0,1,1.16
2025-01,PRV-011,Kyoto Line,15,14,1,93.3,1.6,0,0.42
2025-02,PRV-011,Kyoto Line,12,12,0,100.0,0.0,1,0.24
2025-03,PRV-011,Kyoto Line,12,12,0,100.0,0.0,1,0.56
2025-04,PRV-011,Kyoto Line,17,16,1,94.1,2.6,1,0.66
2025-05,PRV-011,Kyoto Line,10,10,0,100.0,0.0,2,0.33
2025-06,PRV-011,Kyoto Line,10,10,0,100.0,0.0,1,0.68
2025-07,PRV-011,Kyoto Line,11,11,0,100.0,0.0,1,0.08
2025-08,PRV-011,Kyoto Line,11,11,0,100.0,0.0,1,0.09
2025-09,PRV-011,Kyoto Line,14,14,0,100.0,0.0,1,0.31
2025-10,PRV-011,Kyoto Line,13,12,1,92.3,1.2,1,0.42
2025-11,PRV-011,Kyoto Line,16,15,1,93.8,2.7,0,0.1
2025-12,PRV-011,Kyoto Line,17,17,0,100.0,0.0,1,0.41
2026-01,PRV-011,Kyoto Line,11,11,0,100.0,0.0,1,0.69
2026-02,PRV-011,Kyoto Line,10,10,0,100.0,0.0,1,0.49
2026-03,PRV-011,Kyoto Line,13,13,0,100.0,0.0,1,0.85
2026-04,PRV-011,Kyoto Line,10,10,0,100.0,0.0,0,0.56
2026-05,PRV-011,Kyoto Line,14,14,0,100.0,0.0,0,0.47
2026-06,PRV-011,Kyoto Line,12,12,0,100.0,0.0,0,0.28
2026-07,PRV-011,Kyoto Line,12,11,1,91.7,1.8,1,0.0
2026-08,PRV-011,Kyoto Line,11,11,0,100.0,0.0,0,0.0
2024-09,PRV-012,Fleur de Sel,12,12,0,100.0,0.0,0,0.85
2024-10,PRV-012,Fleur de Sel,11,10,1,90.9,2.1,1,1.21
2024-11,PRV-012,Fleur de Sel,10,9,1,90.0,3.7,0,1.04
2024-12,PRV-012,Fleur de Sel,8,8,0,100.0,0.0,0,0.71
2025-01,PRV-012,Fleur de Sel,8,7,1,87.5,2.1,0,1.14
2025-02,PRV-012,Fleur de Sel,8,7,1,87.5,1.4,0,0.96
2025-03,PRV-012,Fleur de Sel,8,8,0,100.0,0.0,0,1.14
2025-04,PRV-012,Fleur de Sel,12,11,1,91.7,2.7,1,0.49
2025-05,PRV-012,Fleur de Sel,18,16,2,88.9,2.0,0,0.18
2025-06,PRV-012,Fleur de Sel,17,17,0,100.0,0.0,1,0.55
2025-07,PRV-012,Fleur de Sel,22,21,1,95.5,0.6,1,0.47
2025-08,PRV-012,Fleur de Sel,17,16,1,94.1,2.9,1,0.0
2025-09,PRV-012,Fleur de Sel,12,11,1,91.7,2.0,0,0.66
2025-10,PRV-012,Fleur de Sel,8,7,1,87.5,2.1,0,0.59
2025-11,PRV-012,Fleur de Sel,8,7,1,87.5,2.0,1,1.65
2025-12,PRV-012,Fleur de Sel,8,7,1,87.5,4.0,0,0.31
2026-01,PRV-012,Fleur de Sel,8,8,0,100.0,0.0,1,0.81
2026-02,PRV-012,Fleur de Sel,8,7,1,87.5,2.9,0,0.62
2026-03,PRV-012,Fleur de Sel,8,8,0,100.0,0.0,1,0.75
2026-04,PRV-012,Fleur de Sel,15,15,0,100.0,0.0,1,0.75
2026-05,PRV-012,Fleur de Sel,14,13,1,92.9,3.0,0,1.14
2026-06,PRV-012,Fleur de Sel,17,16,1,94.1,2.6,0,0.05
2026-07,PRV-012,Fleur de Sel,22,22,0,100.0,0.0,0,0.88
2026-08,PRV-012,Fleur de Sel,16,15,1,93.8,2.7,0,0.36
2024-09,PRV-013,Brixton Union,20,18,2,90.0,1.8,0,0.9
2024-10,PRV-013,Brixton Union,15,14,1,93.3,2.2,0,1.25
2024-11,PRV-013,Brixton Union,17,15,2,88.2,4.7,0,0.92
2024-12,PRV-013,Brixton Union,16,14,2,87.5,1.9,0,1.46
2025-01,PRV-013,Brixton Union,15,14,1,93.3,4.3,1,1.42
2025-02,PRV-013,Brixton Union,13,12,1,92.3,3.1,1,1.06
2025-03,PRV-013,Brixton Union,11,10,1,90.9,2.0,0,1.73
2025-04,PRV-013,Brixton Union,16,15,1,93.8,2.7,1,1.32
2025-05,PRV-013,Brixton Union,17,15,2,88.2,2.8,0,1.44
2025-06,PRV-013,Brixton Union,17,15,2,88.2,2.5,0,0.74
2025-07,PRV-013,Brixton Union,18,17,1,94.4,1.3,1,1.39
2025-08,PRV-013,Brixton Union,14,13,1,92.9,1.3,2,1.55
2025-09,PRV-013,Brixton Union,16,14,2,87.5,3.9,1,1.59
2025-10,PRV-013,Brixton Union,19,17,2,89.5,2.6,0,1.35
2025-11,PRV-013,Brixton Union,22,20,2,90.9,1.8,0,1.37
2025-12,PRV-013,Brixton Union,20,18,2,90.0,1.7,1,1.1
2026-01,PRV-013,Brixton Union,16,14,2,87.5,2.7,2,2.07
2026-02,PRV-013,Brixton Union,14,13,1,92.9,2.2,2,1.13
2026-03,PRV-013,Brixton Union,17,16,1,94.1,5.0,1,1.01
2026-04,PRV-013,Brixton Union,14,12,2,85.7,2.5,1,0.74
2026-05,PRV-013,Brixton Union,14,12,2,85.7,2.5,1,0.94
2026-06,PRV-013,Brixton Union,17,16,1,94.1,1.7,1,1.71
2026-07,PRV-013,Brixton Union,14,13,1,92.9,2.1,1,1.69
2026-08,PRV-013,Brixton Union,18,17,1,94.4,2.2,1,1.16
2024-09,PRV-014,Halcyon Home,8,7,1,87.5,3.5,0,1.08
2024-10,PRV-014,Halcyon Home,12,11,1,91.7,4.5,1,1.1
2024-11,PRV-014,Halcyon Home,17,16,1,94.1,2.9,1,0.66
2024-12,PRV-014,Halcyon Home,15,15,0,100.0,0.0,0,0.97
2025-01,PRV-014,Halcyon Home,11,11,0,100.0,0.0,0,0.17
2025-02,PRV-014,Halcyon Home,11,10,1,90.9,2.3,1,0.0
2025-03,PRV-014,Halcyon Home,8,8,0,100.0,0.0,1,0.86
2025-04,PRV-014,Halcyon Home,8,8,0,100.0,0.0,0,0.68
2025-05,PRV-014,Halcyon Home,8,8,0,100.0,0.0,0,0.54
2025-06,PRV-014,Halcyon Home,8,8,0,100.0,0.0,1,0.85
2025-07,PRV-014,Halcyon Home,8,8,0,100.0,0.0,2,1.09
2025-08,PRV-014,Halcyon Home,8,8,0,100.0,0.0,1,0.45
2025-09,PRV-014,Halcyon Home,13,12,1,92.3,3.4,2,1.12
2025-10,PRV-014,Halcyon Home,16,15,1,93.8,1.9,1,0.35
2025-11,PRV-014,Halcyon Home,14,13,1,92.9,2.1,1,0.58
2025-12,PRV-014,Halcyon Home,19,18,1,94.7,2.4,0,0.56
2026-01,PRV-014,Halcyon Home,11,11,0,100.0,0.0,0,1.31
2026-02,PRV-014,Halcyon Home,9,9,0,100.0,0.0,1,0.89
2026-03,PRV-014,Halcyon Home,9,9,0,100.0,0.0,2,0.62
2026-04,PRV-014,Halcyon Home,8,7,1,87.5,4.6,2,0.76
2026-05,PRV-014,Halcyon Home,8,8,0,100.0,0.0,0,0.58
2026-06,PRV-014,Halcyon Home,8,8,0,100.0,0.0,1,0.0
2026-07,PRV-014,Halcyon Home,8,8,0,100.0,0.0,1,0.67
2026-08,PRV-014,Halcyon Home,8,8,0,100.0,0.0,0,1.06
2024-09,PRV-015,Trueform,10,9,1,90.0,1.4,0,0.66
2024-10,PRV-015,Trueform,8,7,1,87.5,3.0,0,0.47
2024-11,PRV-015,Trueform,9,9,0,100.0,0.0,0,0.37
2024-12,PRV-015,Trueform,12,11,1,91.7,1.9,1,0.48
2025-01,PRV-015,Trueform,8,8,0,100.0,0.0,0,0.6
2025-02,PRV-015,Trueform,8,8,0,100.0,0.0,0,0.0
2025-03,PRV-015,Trueform,10,10,0,100.0,0.0,0,0.34
2025-04,PRV-015,Trueform,9,8,1,88.9,1.6,0,0.76
2025-05,PRV-015,Trueform,10,10,0,100.0,0.0,1,0.66
2025-06,PRV-015,Trueform,10,10,0,100.0,0.0,0,0.96
2025-07,PRV-015,Trueform,9,8,1,88.9,2.7,0,0.23
2025-08,PRV-015,Trueform,8,8,0,100.0,0.0,1,0.22
2025-09,PRV-015,Trueform,11,10,1,90.9,0.5,2,0.27
2025-10,PRV-015,Trueform,8,7,1,87.5,0.9,1,0.17
2025-11,PRV-015,Trueform,10,9,1,90.0,2.8,1,0.12
2025-12,PRV-015,Trueform,12,11,1,91.7,2.4,1,1.1
2026-01,PRV-015,Trueform,9,9,0,100.0,0.0,0,0.45
2026-02,PRV-015,Trueform,9,8,1,88.9,2.6,1,0.97
2026-03,PRV-015,Trueform,11,10,1,90.9,3.1,0,1.12
2026-04,PRV-015,Trueform,8,8,0,100.0,0.0,0,0.66
2026-05,PRV-015,Trueform,8,8,0,100.0,0.0,0,0.78
2026-06,PRV-015,Trueform,9,8,1,88.9,3.2,2,0.61
