month,product_id,provider_id,units_on_hand_end,units_received,stockout_days,days_of_cover,sell_through_pct
2025-02,SKU-001-004,PRV-001,1004,572,0,63.9,31.9
2025-02,SKU-001-005,PRV-001,1317,593,0,52.2,36.5
2025-02,SKU-001-006,PRV-001,841,371,0,71.7,29.5
2025-02,SKU-001-007,PRV-001,476,215,0,67.0,30.9
2025-02,SKU-001-008,PRV-001,652,426,0,55.3,35.2
2025-02,SKU-001-009,PRV-001,1322,790,0,61.6,32.8
2025-02,SKU-001-010,PRV-001,317,107,0,67.4,30.8
2025-02,SKU-001-011,PRV-001,513,231,0,52.5,36.4
2025-02,SKU-001-012,PRV-001,126,64,21,49.1,37.9
2025-02,SKU-001-013,PRV-001,296,127,0,69.9,30.0
2025-02,SKU-001-014,PRV-001,618,478,0,49.3,37.8
2025-02,SKU-001-015,PRV-001,1298,618,5,56.8,34.6
2025-02,SKU-001-017,PRV-001,1191,644,0,58.2,34.0
2025-02,SKU-001-018,PRV-001,158,94,0,48.4,38.3
2025-02,SKU-001-019,PRV-001,887,449,0,76.9,28.1
2025-02,SKU-001-020,PRV-001,862,495,0,56.7,34.6
2025-02,SKU-001-022,PRV-001,164,91,0,62.3,32.5
2025-02,SKU-001-023,PRV-001,549,307,0,61.7,32.7
2025-02,SKU-001-024,PRV-001,1216,494,0,74.4,28.7
2025-02,SKU-001-027,PRV-001,157,98,0,55.4,35.1
2025-02,SKU-001-028,PRV-001,1445,633,0,70.5,29.9
2025-02,SKU-001-029,PRV-001,184,125,0,50.6,37.2
2025-02,SKU-001-031,PRV-001,364,128,0,74.3,28.8
2025-02,SKU-001-033,PRV-001,905,296,16,74.8,28.6
2025-03,SKU-001-001,PRV-001,819,452,0,61.0,33.0
2025-03,SKU-001-002,PRV-001,374,176,0,63.0,32.2
2025-03,SKU-001-003,PRV-001,500,203,0,65.8,31.3
2025-03,SKU-001-004,PRV-001,918,394,0,62.0,32.6
2025-03,SKU-001-005,PRV-001,1585,710,0,69.5,30.1
2025-03,SKU-001-006,PRV-001,842,352,0,66.5,31.1
2025-03,SKU-001-007,PRV-001,442,123,0,80.9,27.1
2025-03,SKU-001-008,PRV-001,982,591,0,47.9,38.5
2025-03,SKU-001-009,PRV-001,956,390,0,56.3,34.7
2025-03,SKU-001-010,PRV-001,387,195,0,76.4,28.2
2025-03,SKU-001-011,PRV-001,921,473,0,73.7,28.9
2025-03,SKU-001-012,PRV-001,446,206,0,64.6,31.7
2025-03,SKU-001-013,PRV-001,281,152,0,57.3,34.3
2025-03,SKU-001-014,PRV-001,965,341,9,78.0,27.8
2025-03,SKU-001-015,PRV-001,1599,715,0,63.7,32.0
2025-03,SKU-001-017,PRV-001,1338,424,0,74.3,28.8
2025-03,SKU-001-018,PRV-001,177,92,0,47.0,39.0
2025-03,SKU-001-019,PRV-001,512,261,0,52.1,36.6
2025-03,SKU-001-020,PRV-001,986,359,0,80.2,27.2
2025-03,SKU-001-022,PRV-001,294,89,0,80.9,27.0
2025-03,SKU-001-023,PRV-001,725,275,0,66.1,31.2
2025-03,SKU-001-024,PRV-001,905,566,2,51.7,36.7
2025-03,SKU-001-027,PRV-001,198,92,0,66.7,31.0
2025-03,SKU-001-028,PRV-001,1311,814,0,60.7,33.1
2025-03,SKU-001-029,PRV-001,165,87,0,46.7,39.1
2025-03,SKU-001-031,PRV-001,128,73,12,51.2,36.9
2025-03,SKU-001-033,PRV-001,1189,512,0,65.0,31.6
2025-04,SKU-001-001,PRV-001,948,341,0,70.4,29.9
2025-04,SKU-001-002,PRV-001,461,180,0,71.3,29.6
2025-04,SKU-001-003,PRV-001,542,200,0,78.9,27.5
2025-04,SKU-001-004,PRV-001,1011,512,0,56.2,34.8
2025-04,SKU-001-005,PRV-001,1039,560,0,56.6,34.7
2025-04,SKU-001-006,PRV-001,635,377,0,58.1,34.1
2025-04,SKU-001-007,PRV-001,371,176,0,68.7,30.4
2025-04,SKU-001-008,PRV-001,1469,533,0,64.3,31.8
2025-04,SKU-001-009,PRV-001,865,588,0,45.9,39.5
2025-04,SKU-001-010,PRV-001,374,168,0,71.5,29.6
2025-04,SKU-001-011,PRV-001,988,467,0,71.6,29.5
2025-04,SKU-001-012,PRV-001,359,233,0,49.4,37.8
2025-04,SKU-001-013,PRV-001,265,171,0,53.7,35.8
2025-04,SKU-001-014,PRV-001,1053,392,0,65.1,31.5
2025-04,SKU-001-015,PRV-001,1479,837,0,61.6,32.7
2025-04,SKU-001-017,PRV-001,939,548,0,52.3,36.5
2025-04,SKU-001-018,PRV-001,310,130,0,83.0,26.5
2025-04,SKU-001-019,PRV-001,431,294,0,52.1,36.5
2025-04,SKU-001-020,PRV-001,1249,485,0,83.5,26.4
2025-04,SKU-001-022,PRV-001,144,116,0,46.0,39.5
2025-04,SKU-001-023,PRV-001,694,317,0,61.4,32.8
2025-04,SKU-001-024,PRV-001,682,378,0,55.6,35.0
2025-04,SKU-001-027,PRV-001,137,73,0,50.7,37.2
2025-04,SKU-001-028,PRV-001,1782,701,0,82.9,26.6
2025-04,SKU-001-029,PRV-001,263,87,0,76.6,28.1
2025-04,SKU-001-031,PRV-001,237,148,0,47.7,38.6
2025-04,SKU-001-033,PRV-001,1106,623,0,58.4,33.9
2025-05,SKU-001-001,PRV-001,554,267,0,50.4,37.3
2025-05,SKU-001-002,PRV-001,278,184,0,47.9,38.5
2025-05,SKU-001-003,PRV-001,441,236,0,63.6,32.0
2025-05,SKU-001-004,PRV-001,1067,522,0,54.6,35.5
2025-05,SKU-001-005,PRV-001,1544,635,0,81.5,26.9
2025-05,SKU-001-006,PRV-001,975,496,0,74.6,28.7
2025-05,SKU-001-007,PRV-001,274,164,0,54.8,35.4
2025-05,SKU-001-008,PRV-001,1203,735,0,53.0,36.1
2025-05,SKU-001-009,PRV-001,1422,446,0,75.1,28.5
2025-05,SKU-001-010,PRV-001,385,151,0,70.4,29.9
2025-05,SKU-001-011,PRV-001,900,291,0,71.6,29.5
2025-05,SKU-001-012,PRV-001,343,209,0,46.1,39.4
2025-05,SKU-001-013,PRV-001,155,113,9,45.6,39.7
2025-05,SKU-001-014,PRV-001,844,351,0,65.1,31.5
2025-05,SKU-001-015,PRV-001,1826,918,0,70.0,30.0
2025-05,SKU-001-017,PRV-001,1306,471,0,77.7,27.8
2025-05,SKU-001-018,PRV-001,163,80,0,48.9,38.0
2025-05,SKU-001-019,PRV-001,578,284,0,69.4,30.2
2025-05,SKU-001-020,PRV-001,1196,522,0,79.7,27.3
2025-05,SKU-001-022,PRV-001,225,106,0,59.7,33.4
2025-05,SKU-001-023,PRV-001,425,297,0,49.4,37.8
2025-05,SKU-001-024,PRV-001,949,335,3,73.6,29.0
2025-05,SKU-001-025,PRV-001,198,59,0,83.7,26.4
2025-05,SKU-001-027,PRV-001,122,77,0,49.5,37.8
2025-05,SKU-001-028,PRV-001,1217,427,0,82.0,26.8
2025-05,SKU-001-029,PRV-001,219,113,0,73.8,28.9
2025-05,SKU-001-031,PRV-001,384,172,0,82.3,26.7
2025-05,SKU-001-033,PRV-001,1409,570,0,71.2,29.7
2025-06,SKU-001-001,PRV-001,473,221,0,52.8,36.3
2025-06,SKU-001-002,PRV-001,426,161,0,78.4,27.7
2025-06,SKU-001-003,PRV-001,642,199,0,75.2,28.5
2025-06,SKU-001-004,PRV-001,772,606,0,48.8,38.1
2025-06,SKU-001-005,PRV-001,1187,806,0,46.9,39.0
2025-06,SKU-001-006,PRV-001,690,449,0,55.9,34.9
2025-06,SKU-001-007,PRV-001,288,188,0,45.0,40.0
2025-06,SKU-001-008,PRV-001,1042,606,0,53.2,36.1
2025-06,SKU-001-009,PRV-001,1549,522,0,82.4,26.7
2025-06,SKU-001-010,PRV-001,451,219,0,72.4,29.3
2025-06,SKU-001-011,PRV-001,228,128,21,58.5,33.9
2025-06,SKU-001-012,PRV-001,514,208,0,80.7,27.1
2025-06,SKU-001-013,PRV-001,373,156,0,72.2,29.4
2025-06,SKU-001-014,PRV-001,883,442,0,63.7,32.0
2025-06,SKU-001-015,PRV-001,813,680,7,43.7,40.7
2025-06,SKU-001-017,PRV-001,1090,589,0,60.9,33.0
2025-06,SKU-001-018,PRV-001,225,105,0,81.3,26.9
2025-06,SKU-001-019,PRV-001,519,278,0,56.6,34.6
2025-06,SKU-001-020,PRV-001,780,449,0,48.2,38.3
2025-06,SKU-001-022,PRV-001,150,99,0,49.5,37.8
2025-06,SKU-001-023,PRV-001,628,308,0,70.8,29.8
2025-06,SKU-001-024,PRV-001,762,462,0,45.4,39.8
2025-06,SKU-001-025,PRV-001,200,86,5,66.7,31.0
2025-06,SKU-001-027,PRV-001,179,62,0,71.6,29.5
2025-06,SKU-001-028,PRV-001,1176,605,0,62.2,32.5
2025-06,SKU-001-029,PRV-001,247,106,0,65.6,31.4
2025-06,SKU-001-031,PRV-001,216,141,0,59.4,33.5
2025-06,SKU-001-033,PRV-001,789,491,0,43.5,40.8
2025-07,SKU-001-001,PRV-001,825,346,0,76.6,28.1
2025-07,SKU-001-002,PRV-001,406,260,0,53.7,35.9
2025-07,SKU-001-003,PRV-001,431,258,3,57.2,34.4
2025-07,SKU-001-004,PRV-001,1027,319,0,82.4,26.7
2025-07,SKU-001-005,PRV-001,904,648,0,53.3,36.0
2025-07,SKU-001-006,PRV-001,561,374,0,46.2,39.4
2025-07,SKU-001-007,PRV-001,325,196,0,59.8,33.4
2025-07,SKU-001-008,PRV-001,1306,751,0,62.2,32.5
2025-07,SKU-001-009,PRV-001,962,516,0,55.6,35.0
2025-07,SKU-001-010,PRV-001,318,151,0,64.0,31.9
2025-07,SKU-001-011,PRV-001,444,255,0,47.1,38.9
2025-07,SKU-001-012,PRV-001,363,144,0,73.6,29.0
2025-07,SKU-001-013,PRV-001,267,135,0,72.8,29.2
2025-07,SKU-001-014,PRV-001,570,286,0,53.4,36.0
2025-07,SKU-001-015,PRV-001,1855,574,0,76.1,28.3
2025-07,SKU-001-017,PRV-001,644,359,0,50.4,37.3
2025-07,SKU-001-018,PRV-001,193,92,0,55.7,35.0
2025-07,SKU-001-019,PRV-001,473,266,0,63.9,31.9
2025-07,SKU-001-020,PRV-001,591,505,0,43.7,40.7
2025-07,SKU-001-022,PRV-001,214,101,0,68.3,30.5
2025-07,SKU-001-023,PRV-001,489,304,0,46.3,39.3
2025-07,SKU-001-024,PRV-001,1302,421,0,80.2,27.2
2025-07,SKU-001-025,PRV-001,351,168,0,79.2,27.5
2025-07,SKU-001-027,PRV-001,204,112,0,68.8,30.4
2025-07,SKU-001-028,PRV-001,948,454,0,66.8,31.0
2025-07,SKU-001-029,PRV-001,193,91,0,73.3,29.0
2025-07,SKU-001-031,PRV-001,249,83,0,80.3,27.2
2025-07,SKU-001-032,PRV-001,104,60,0,50.3,37.3
2025-07,SKU-001-033,PRV-001,1010,721,0,45.4,39.8
2025-08,SKU-001-001,PRV-001,717,300,0,76.5,28.2
2025-08,SKU-001-002,PRV-001,460,215,0,73.0,29.1
2025-08,SKU-001-003,PRV-001,716,323,0,83.3,26.5
2025-08,SKU-001-004,PRV-001,988,466,0,76.2,28.2
2025-08,SKU-001-005,PRV-001,1097,650,0,48.0,38.5
2025-08,SKU-001-006,PRV-001,763,308,0,75.0,28.6
2025-08,SKU-001-007,PRV-001,522,220,0,78.3,27.7
2025-08,SKU-001-008,PRV-001,1132,595,0,67.2,30.8
2025-08,SKU-001-009,PRV-001,1496,801,0,66.1,31.2
2025-08,SKU-001-010,PRV-001,463,204,0,70.9,29.7
2025-08,SKU-001-011,PRV-001,665,325,0,64.1,31.9
2025-08,SKU-001-012,PRV-001,273,179,0,47.6,38.7
2025-08,SKU-001-013,PRV-001,326,137,0,80.2,27.2
2025-08,SKU-001-014,PRV-001,1133,382,0,77.1,28.0
2025-08,SKU-001-015,PRV-001,1679,965,0,64.5,31.7
2025-08,SKU-001-017,PRV-001,618,294,9,64.6,31.7
2025-08,SKU-001-018,PRV-001,114,62,9,51.0,37.0
2025-08,SKU-001-019,PRV-001,577,307,0,67.6,30.7
2025-08,SKU-001-020,PRV-001,643,424,0,44.9,40.1
2025-08,SKU-001-022,PRV-001,281,109,0,83.5,26.4
2025-08,SKU-001-023,PRV-001,788,328,0,79.9,27.3
2025-08,SKU-001-024,PRV-001,828,474,0,47.8,38.6
2025-08,SKU-001-025,PRV-001,326,138,0,63.5,32.1
2025-08,SKU-001-027,PRV-001,168,73,0,63.0,32.3
2025-08,SKU-001-028,PRV-001,764,455,0,45.4,39.8
2025-08,SKU-001-029,PRV-001,178,71,0,61.4,32.8
2025-08,SKU-001-031,PRV-001,218,82,0,61.7,32.7
2025-08,SKU-001-032,PRV-001,138,84,0,55.9,34.9
2025-08,SKU-001-033,PRV-001,1838,873,0,79.8,27.3
2025-09,SKU-001-001,PRV-001,1053,399,0,82.7,26.6
2025-09,SKU-001-002,PRV-001,424,227,0,50.5,37.3
2025-09,SKU-001-003,PRV-001,782,356,0,77.7,27.9
2025-09,SKU-001-004,PRV-001,987,484,0,56.2,34.8
2025-09,SKU-001-005,PRV-001,2415,947,0,74.1,28.8
2025-09,SKU-001-006,PRV-001,751,390,0,62.6,32.4
2025-09,SKU-001-007,PRV-001,402,135,7,79.3,27.4
2025-09,SKU-001-008,PRV-001,1094,794,0,52.9,36.2
2025-09,SKU-001-009,PRV-001,1221,668,0,55.3,35.2
2025-09,SKU-001-010,PRV-001,555,244,0,68.5,30.5
2025-09,SKU-001-011,PRV-001,1128,524,0,73.1,29.1
2025-09,SKU-001-012,PRV-001,575,185,0,78.1,27.8
2025-09,SKU-001-013,PRV-001,263,196,0,49.6,37.7
2025-09,SKU-001-014,PRV-001,1184,721,0,56.7,34.6
2025-09,SKU-001-015,PRV-001,1785,613,0,81.3,27.0
2025-09,SKU-001-017,PRV-001,993,586,0,54.1,35.7
2025-09,SKU-001-018,PRV-001,320,115,0,80.0,27.3
2025-09,SKU-001-019,PRV-001,676,349,0,63.4,32.1
2025-09,SKU-001-020,PRV-001,1204,329,0,83.2,26.5
2025-09,SKU-001-022,PRV-001,142,75,5,50.1,37.4
2025-09,SKU-001-023,PRV-001,1052,396,0,80.5,27.1
2025-09,SKU-001-024,PRV-001,937,621,0,43.6,40.7
2025-09,SKU-001-025,PRV-001,414,196,0,66.1,31.2
2025-09,SKU-001-027,PRV-001,233,162,0,53.4,36.0
2025-09,SKU-001-028,PRV-001,1413,823,0,63.5,32.1
2025-09,SKU-001-029,PRV-001,192,126,0,51.4,36.8
2025-09,SKU-001-031,PRV-001,223,161,0,44.3,40.4
2025-09,SKU-001-032,PRV-001,260,134,0,61.4,32.8
2025-09,SKU-001-033,PRV-001,1919,870,0,80.2,27.2
2025-10,SKU-001-001,PRV-001,1230,356,0,83.5,26.4
2025-10,SKU-001-002,PRV-001,608,340,0,63.6,32.1
2025-10,SKU-001-003,PRV-001,724,274,0,74.6,28.7
2025-10,SKU-001-004,PRV-001,1100,730,0,56.8,34.6
2025-10,SKU-001-005,PRV-001,1562,1095,0,48.7,38.1
2025-10,SKU-001-006,PRV-001,1010,620,0,62.2,32.5
2025-10,SKU-001-007,PRV-001,595,286,0,81.1,27.0
2025-10,SKU-001-008,PRV-001,1392,974,0,51.9,36.6
2025-10,SKU-001-009,PRV-001,1581,822,0,63.0,32.3
2025-10,SKU-001-010,PRV-001,323,163,0,58.4,33.9
2025-10,SKU-001-011,PRV-001,661,462,0,47.0,39.0
2025-10,SKU-001-012,PRV-001,599,189,0,76.1,28.3
2025-10,SKU-001-013,PRV-001,240,178,5,50.7,37.2
2025-10,SKU-001-014,PRV-001,822,626,0,49.2,37.9
2025-10,SKU-001-015,PRV-001,1645,882,0,52.5,36.4
2025-10,SKU-001-017,PRV-001,1181,829,0,54.8,35.4
2025-10,SKU-001-018,PRV-001,81,40,21,57.9,34.1
2025-10,SKU-001-019,PRV-001,792,295,0,70.1,30.0
2025-10,SKU-001-020,PRV-001,992,690,0,50.6,37.2
2025-10,SKU-001-022,PRV-001,255,156,0,58.8,33.8
2025-10,SKU-001-023,PRV-001,596,303,0,55.2,35.2
2025-10,SKU-001-024,PRV-001,1380,516,0,79.6,27.4
2025-10,SKU-001-025,PRV-001,383,141,0,70.5,29.9
2025-10,SKU-001-027,PRV-001,225,84,0,71.1,29.7
2025-10,SKU-001-028,PRV-001,1667,656,0,76.5,28.2
2025-10,SKU-001-029,PRV-001,220,160,0,45.8,39.6
2025-10,SKU-001-031,PRV-001,212,103,9,66.2,31.2
2025-10,SKU-001-032,PRV-001,263,167,0,50.6,37.2
2025-10,SKU-001-033,PRV-001,1436,795,0,67.6,30.7
2025-11,SKU-001-001,PRV-001,956,528,0,47.0,39.0
2025-11,SKU-001-002,PRV-001,1014,362,0,80.5,27.2
2025-11,SKU-001-003,PRV-001,975,458,0,78.4,27.7
2025-11,SKU-001-004,PRV-001,2008,851,0,81.3,27.0
2025-11,SKU-001-005,PRV-001,1822,1460,0,47.2,38.9
2025-11,SKU-001-006,PRV-001,1081,556,0,73.2,29.1
2025-11,SKU-001-007,PRV-001,477,370,0,47.5,38.7
2025-11,SKU-001-008,PRV-001,1852,1049,0,64.8,31.6
2025-11,SKU-001-009,PRV-001,1098,863,0,44.5,40.3
2025-11,SKU-001-010,PRV-001,851,359,0,83.2,26.5
2025-11,SKU-001-011,PRV-001,829,414,0,58.8,33.8
2025-11,SKU-001-012,PRV-001,617,279,0,71.2,29.6
2025-11,SKU-001-013,PRV-001,567,248,0,83.4,26.5
2025-11,SKU-001-014,PRV-001,1471,515,0,75.2,28.5
2025-11,SKU-001-015,PRV-001,2794,920,0,68.6,30.4
2025-11,SKU-001-016,PRV-001,186,102,0,57.5,34.3
2025-11,SKU-001-017,PRV-001,2420,1028,0,81.4,26.9
2025-11,SKU-001-018,PRV-001,199,164,0,46.3,39.3
2025-11,SKU-001-019,PRV-001,936,436,0,66.2,31.2
2025-11,SKU-001-020,PRV-001,1154,701,0,44.7,40.1
2025-11,SKU-001-022,PRV-001,279,183,0,59.4,33.6
2025-11,SKU-001-023,PRV-001,886,418,2,69.8,30.1
2025-11,SKU-001-024,PRV-001,1511,699,0,68.5,30.5
2025-11,SKU-001-025,PRV-001,614,230,0,75.5,28.4
2025-11,SKU-001-026,PRV-001,246,107,3,56.8,34.6
2025-11,SKU-001-027,PRV-001,266,207,0,49.9,37.6
2025-11,SKU-001-028,PRV-001,2316,1201,0,69.8,30.1
2025-11,SKU-001-029,PRV-001,348,133,9,74.0,28.8
2025-11,SKU-001-031,PRV-001,340,207,0,63.8,32.0
2025-11,SKU-001-032,PRV-001,363,212,0,53.9,35.8
2025-11,SKU-001-033,PRV-001,1488,1083,0,50.6,37.2
2025-11,SKU-001-034,PRV-001,129,104,16,44.5,40.3
2025-12,SKU-001-001,PRV-001,613,289,9,49.0,38.0
2025-12,SKU-001-002,PRV-001,591,291,0,75.4,28.5
2025-12,SKU-001-003,PRV-001,723,285,0,75.1,28.6
