product_id,provider_id,provider_name,product_name,product_line,item_type,category,gender,color,size_range,list_price_eur,commission_pct,discontinued_month
SKU-001-028,PRV-001,adidas,Tiro Sneaker,Tiro,Sneaker,Sportswear,Men,Forest,One Size,60.95,0.19,
SKU-001-029,PRV-001,adidas,Z.N.E. Sneaker,Z.N.E.,Sneaker,Sportswear,Unisex,Navy,XS-XL,46.95,0.19,
SKU-001-030,PRV-001,adidas,Own the Run Sneaker,Own the Run,Sneaker,Sportswear,Women,Slate Blue,S-XL,173.95,0.19,
SKU-001-031,PRV-001,adidas,Terrex Tights,Terrex,Tights,Sportswear,Women,Black,One Size,76.95,0.19,
SKU-001-032,PRV-001,adidas,Ultraboost Tights,Ultraboost,Tights,Sportswear,Women,Charcoal,34-46,67.95,0.19,
SKU-001-033,PRV-001,adidas,Adicolor Tights,Adicolor,Tights,Sportswear,Unisex,Terracotta,XS-XXL,175.95,0.19,
SKU-001-034,PRV-001,adidas,Tiro Tights,Tiro,Tights,Sportswear,Women,Forest,26-36,134.95,0.19,
SKU-002-001,PRV-002,Ombra Fashion,Neroluce Blouse,Neroluce,Blouse,Fast fashion,Unisex,Sand,XS-XL,19.95,0.27,
SKU-002-002,PRV-002,Ombra Fashion,Vetro Blouse,Vetro,Blouse,Fast fashion,Unisex,Cream,XS-XXL,38.95,0.27,
SKU-002-003,PRV-002,Ombra Fashion,Basico Blouse,Basico,Blouse,Fast fashion,Men,Olive,26-36,10.95,0.27,
SKU-002-004,PRV-002,Ombra Fashion,Notte Blouse,Notte,Blouse,Fast fashion,Men,Charcoal,36-44,9.95,0.27,2026-05
SKU-002-005,PRV-002,Ombra Fashion,Sabbia Blouse,Sabbia,Blouse,Fast fashion,Unisex,Burgundy,XS-XXL,22.95,0.27,
SKU-002-006,PRV-002,Ombra Fashion,Neroluce Mini Dress,Neroluce,Mini Dress,Fast fashion,Women,Forest,34-46,11.95,0.27,
SKU-002-007,PRV-002,Ombra Fashion,Vetro Mini Dress,Vetro,Mini Dress,Fast fashion,Men,Off White,XS-XXL,12.95,0.27,
SKU-002-008,PRV-002,Ombra Fashion,Basico Mini Dress,Basico,Mini Dress,Fast fashion,Women,Stone,S-XL,17.95,0.27,
SKU-002-009,PRV-002,Ombra Fashion,Notte Mini Dress,Notte,Mini Dress,Fast fashion,Unisex,Slate Blue,36-44,9.95,0.27,
SKU-002-010,PRV-002,Ombra Fashion,Sabbia Mini Dress,Sabbia,Mini Dress,Fast fashion,Women,Charcoal,26-36,37.95,0.27,
SKU-002-011,PRV-002,Ombra Fashion,Neroluce Crop Top,Neroluce,Crop Top,Fast fashion,Women,Ecru,XS-XL,44.95,0.27,
SKU-002-012,PRV-002,Ombra Fashion,Vetro Crop Top,Vetro,Crop Top,Fast fashion,Unisex,Forest,S-XL,9.95,0.27,
SKU-002-013,PRV-002,Ombra Fashion,Basico Crop Top,Basico,Crop Top,Fast fashion,Men,Rust,One Size,27.95,0.27,
SKU-002-014,PRV-002,Ombra Fashion,Notte Crop Top,Notte,Crop Top,Fast fashion,Women,Terracotta,36-44,18.95,0.27,
SKU-002-015,PRV-002,Ombra Fashion,Sabbia Crop Top,Sabbia,Crop Top,Fast fashion,Women,Black,34-46,20.95,0.27,
SKU-002-016,PRV-002,Ombra Fashion,Neroluce Cargo Pant,Neroluce,Cargo Pant,Fast fashion,Men,Ecru,One Size,26.95,0.27,
SKU-002-017,PRV-002,Ombra Fashion,Vetro Cargo Pant,Vetro,Cargo Pant,Fast fashion,Women,Stone,34-46,9.95,0.27,
SKU-002-018,PRV-002,Ombra Fashion,Basico Cargo Pant,Basico,Cargo Pant,Fast fashion,Men,Sand,One Size,18.95,0.27,
SKU-002-019,PRV-002,Ombra Fashion,Notte Cargo Pant,Notte,Cargo Pant,Fast fashion,Unisex,Black,S-XL,11.95,0.27,
SKU-002-020,PRV-002,Ombra Fashion,Sabbia Cargo Pant,Sabbia,Cargo Pant,Fast fashion,Men,Ecru,S-XL,16.95,0.27,
SKU-002-021,PRV-002,Ombra Fashion,Neroluce Bodysuit,Neroluce,Bodysuit,Fast fashion,Women,Off White,One Size,12.95,0.27,
SKU-002-022,PRV-002,Ombra Fashion,Vetro Bodysuit,Vetro,Bodysuit,Fast fashion,Men,Olive,34-46,21.95,0.27,
SKU-002-023,PRV-002,Ombra Fashion,Basico Bodysuit,Basico,Bodysuit,Fast fashion,Women,Terracotta,26-36,28.95,0.27,
SKU-002-024,PRV-002,Ombra Fashion,Notte Bodysuit,Notte,Bodysuit,Fast fashion,Men,Olive,S-XL,28.95,0.27,
SKU-002-025,PRV-002,Ombra Fashion,Sabbia Bodysuit,Sabbia,Bodysuit,Fast fashion,Unisex,Rust,26-36,8.95,0.27,
SKU-002-026,PRV-002,Ombra Fashion,Neroluce Skirt,Neroluce,Skirt,Fast fashion,Unisex,Rust,S-XL,24.95,0.27,
SKU-002-027,PRV-002,Ombra Fashion,Vetro Skirt,Vetro,Skirt,Fast fashion,Unisex,Navy,36-44,8.95,0.27,
SKU-002-028,PRV-002,Ombra Fashion,Basico Skirt,Basico,Skirt,Fast fashion,Unisex,Charcoal,34-46,11.95,0.27,
SKU-002-029,PRV-002,Ombra Fashion,Notte Skirt,Notte,Skirt,Fast fashion,Men,Stone,XS-XXL,15.95,0.27,
SKU-002-030,PRV-002,Ombra Fashion,Sabbia Skirt,Sabbia,Skirt,Fast fashion,Women,Off White,XS-XL,44.95,0.27,2026-01
SKU-002-031,PRV-002,Ombra Fashion,Neroluce Blazer,Neroluce,Blazer,Fast fashion,Women,Stone,26-36,42.95,0.27,
SKU-002-032,PRV-002,Ombra Fashion,Vetro Blazer,Vetro,Blazer,Fast fashion,Women,Forest,S-XL,22.95,0.27,2026-05
SKU-002-033,PRV-002,Ombra Fashion,Basico Blazer,Basico,Blazer,Fast fashion,Unisex,Slate Blue,26-36,8.95,0.27,
SKU-002-034,PRV-002,Ombra Fashion,Notte Blazer,Notte,Blazer,Fast fashion,Women,Cream,XS-XL,26.95,0.27,
SKU-002-035,PRV-002,Ombra Fashion,Sabbia Blazer,Sabbia,Blazer,Fast fashion,Women,Black,26-36,40.95,0.27,
SKU-002-036,PRV-002,Ombra Fashion,Neroluce Co-ord Set,Neroluce,Co-ord Set,Fast fashion,Women,Stone,34-46,21.95,0.27,
SKU-002-037,PRV-002,Ombra Fashion,Vetro Co-ord Set,Vetro,Co-ord Set,Fast fashion,Men,Sand,XS-XL,18.95,0.27,
SKU-002-038,PRV-002,Ombra Fashion,Basico Co-ord Set,Basico,Co-ord Set,Fast fashion,Women,Stone,XS-XL,13.95,0.27,
SKU-002-039,PRV-002,Ombra Fashion,Notte Co-ord Set,Notte,Co-ord Set,Fast fashion,Women,Black,S-XL,13.95,0.27,
SKU-002-040,PRV-002,Ombra Fashion,Sabbia Co-ord Set,Sabbia,Co-ord Set,Fast fashion,Unisex,Black,34-46,27.95,0.27,2025-06
SKU-003-001,PRV-003,Nordvik Studio,Fjell Knit,Fjell,Knit,Contemporary,Unisex,Slate Blue,One Size,62.95,0.22,
SKU-003-002,PRV-003,Nordvik Studio,Linje Knit,Linje,Knit,Contemporary,Men,Black,One Size,212.95,0.22,
SKU-003-003,PRV-003,Nordvik Studio,Havn Knit,Havn,Knit,Contemporary,Unisex,Slate Blue,34-46,133.95,0.22,
SKU-003-004,PRV-003,Nordvik Studio,Sten Knit,Sten,Knit,Contemporary,Unisex,Ecru,34-46,46.95,0.22,
SKU-003-005,PRV-003,Nordvik Studio,Fjell Trouser,Fjell,Trouser,Contemporary,Women,Slate Blue,XS-XL,45.95,0.22,
SKU-003-006,PRV-003,Nordvik Studio,Linje Trouser,Linje,Trouser,Contemporary,Men,Stone,S-XL,50.95,0.22,
SKU-003-007,PRV-003,Nordvik Studio,Havn Trouser,Havn,Trouser,Contemporary,Unisex,Rust,XS-XXL,144.95,0.22,
SKU-003-008,PRV-003,Nordvik Studio,Sten Trouser,Sten,Trouser,Contemporary,Unisex,Charcoal,XS-XXL,175.95,0.22,
SKU-003-009,PRV-003,Nordvik Studio,Fjell Overshirt,Fjell,Overshirt,Contemporary,Women,Sand,36-44,77.95,0.22,
SKU-003-010,PRV-003,Nordvik Studio,Linje Overshirt,Linje,Overshirt,Contemporary,Men,Charcoal,26-36,117.95,0.22,
SKU-003-011,PRV-003,Nordvik Studio,Havn Overshirt,Havn,Overshirt,Contemporary,Unisex,Off White,XS-XL,86.95,0.22,
SKU-003-012,PRV-003,Nordvik Studio,Sten Overshirt,Sten,Overshirt,Contemporary,Men,Off White,36-44,95.95,0.22,
SKU-003-013,PRV-003,Nordvik Studio,Fjell Wool Coat,Fjell,Wool Coat,Contemporary,Men,Stone,XS-XXL,96.95,0.22,
SKU-003-014,PRV-003,Nordvik Studio,Linje Wool Coat,Linje,Wool Coat,Contemporary,Unisex,Stone,One Size,61.95,0.22,
SKU-003-015,PRV-003,Nordvik Studio,Havn Wool Coat,Havn,Wool Coat,Contemporary,Men,Black,XS-XXL,57.95,0.22,
SKU-003-016,PRV-003,Nordvik Studio,Sten Wool Coat,Sten,Wool Coat,Contemporary,Women,Ecru,34-46,93.95,0.22,
SKU-003-017,PRV-003,Nordvik Studio,Fjell Shirt Dress,Fjell,Shirt Dress,Contemporary,Men,Cream,26-36,103.95,0.22,
SKU-003-018,PRV-003,Nordvik Studio,Linje Shirt Dress,Linje,Shirt Dress,Contemporary,Men,Black,XS-XXL,82.95,0.22,
SKU-003-019,PRV-003,Nordvik Studio,Havn Shirt Dress,Havn,Shirt Dress,Contemporary,Women,Rust,XS-XXL,222.95,0.22,
SKU-003-020,PRV-003,Nordvik Studio,Sten Shirt Dress,Sten,Shirt Dress,Contemporary,Men,Forest,26-36,87.95,0.22,
SKU-003-021,PRV-003,Nordvik Studio,Fjell Cardigan,Fjell,Cardigan,Contemporary,Men,Black,XS-XXL,52.95,0.22,
SKU-003-022,PRV-003,Nordvik Studio,Linje Cardigan,Linje,Cardigan,Contemporary,Men,Cream,XS-XL,178.95,0.22,
SKU-003-023,PRV-003,Nordvik Studio,Havn Cardigan,Havn,Cardigan,Contemporary,Men,Burgundy,26-36,47.95,0.22,
SKU-003-024,PRV-003,Nordvik Studio,Sten Cardigan,Sten,Cardigan,Contemporary,Unisex,Cream,XS-XXL,45.95,0.22,
SKU-004-001,PRV-004,Maison Rive,Rive Gauche Silk Blouse,Rive Gauche,Silk Blouse,Premium,Men,Sand,XS-XXL,278.95,0.16,
SKU-004-002,PRV-004,Maison Rive,Atelier Silk Blouse,Atelier,Silk Blouse,Premium,Men,Slate Blue,34-46,168.95,0.16,
SKU-004-003,PRV-004,Maison Rive,Sainte-Claire Silk Blouse,Sainte-Claire,Silk Blouse,Premium,Men,Forest,S-XL,510.95,0.16,
SKU-004-004,PRV-004,Maison Rive,Rive Gauche Tailored Blazer,Rive Gauche,Tailored Blazer,Premium,Unisex,Burgundy,One Size,425.95,0.16,
SKU-004-005,PRV-004,Maison Rive,Atelier Tailored Blazer,Atelier,Tailored Blazer,Premium,Men,Terracotta,One Size,297.95,0.16,
SKU-004-006,PRV-004,Maison Rive,Sainte-Claire Tailored Blazer,Sainte-Claire,Tailored Blazer,Premium,Men,Black,S-XL,141.95,0.16,
SKU-004-007,PRV-004,Maison Rive,Rive Gauche Wool Trouser,Rive Gauche,Wool Trouser,Premium,Women,Ecru,34-46,144.95,0.16,
SKU-004-008,PRV-004,Maison Rive,Atelier Wool Trouser,Atelier,Wool Trouser,Premium,Men,Olive,XS-XL,203.95,0.16,
SKU-004-009,PRV-004,Maison Rive,Sainte-Claire Wool Trouser,Sainte-Claire,Wool Trouser,Premium,Men,Black,XS-XL,350.95,0.16,
SKU-004-010,PRV-004,Maison Rive,Rive Gauche Trench Coat,Rive Gauche,Trench Coat,Premium,Men,Off White,XS-XXL,139.95,0.16,
SKU-004-011,PRV-004,Maison Rive,Atelier Trench Coat,Atelier,Trench Coat,Premium,Unisex,Rust,One Size,567.95,0.16,
SKU-004-012,PRV-004,Maison Rive,Sainte-Claire Trench Coat,Sainte-Claire,Trench Coat,Premium,Men,Olive,XS-XXL,402.95,0.16,
SKU-004-013,PRV-004,Maison Rive,Rive Gauche Midi Dress,Rive Gauche,Midi Dress,Premium,Men,Black,XS-XXL,239.95,0.16,
SKU-004-014,PRV-004,Maison Rive,Atelier Midi Dress,Atelier,Midi Dress,Premium,Unisex,Olive,XS-XXL,138.95,0.16,
SKU-004-015,PRV-004,Maison Rive,Sainte-Claire Midi Dress,Sainte-Claire,Midi Dress,Premium,Men,Forest,One Size,662.95,0.16,
SKU-004-016,PRV-004,Maison Rive,Rive Gauche Cashmere Knit,Rive Gauche,Cashmere Knit,Premium,Women,Stone,XS-XL,146.95,0.16,
SKU-005-001,PRV-005,Bloomwell,Everyday Tee,Everyday,Tee,Sustainable basics,Unisex,Stone,One Size,76.95,0.24,
SKU-005-002,PRV-005,Bloomwell,Organic Core Tee,Organic Core,Tee,Sustainable basics,Men,Slate Blue,XS-XL,45.95,0.24,
SKU-005-003,PRV-005,Bloomwell,Reworn Tee,Reworn,Tee,Sustainable basics,Women,Charcoal,S-XL,49.95,0.24,
SKU-005-004,PRV-005,Bloomwell,Everyday Sweatshirt,Everyday,Sweatshirt,Sustainable basics,Women,Terracotta,XS-XL,30.95,0.24,
SKU-005-005,PRV-005,Bloomwell,Organic Core Sweatshirt,Organic Core,Sweatshirt,Sustainable basics,Men,Terracotta,34-46,21.95,0.24,
SKU-005-006,PRV-005,Bloomwell,Reworn Sweatshirt,Reworn,Sweatshirt,Sustainable basics,Women,Burgundy,34-46,38.95,0.24,
SKU-005-007,PRV-005,Bloomwell,Everyday Chino,Everyday,Chino,Sustainable basics,Women,Off White,26-36,22.95,0.24,
SKU-005-008,PRV-005,Bloomwell,Organic Core Chino,Organic Core,Chino,Sustainable basics,Unisex,Ecru,34-46,29.95,0.24,
SKU-005-009,PRV-005,Bloomwell,Reworn Chino,Reworn,Chino,Sustainable basics,Men,Cream,36-44,41.95,0.24,
SKU-005-010,PRV-005,Bloomwell,Everyday Denim Jacket,Everyday,Denim Jacket,Sustainable basics,Women,Navy,XS-XL,81.95,0.24,
SKU-005-011,PRV-005,Bloomwell,Organic Core Denim Jacket,Organic Core,Denim Jacket,Sustainable basics,Men,Sand,S-XL,22.95,0.24,
SKU-005-012,PRV-005,Bloomwell,Reworn Denim Jacket,Reworn,Denim Jacket,Sustainable basics,Men,Slate Blue,One Size,19.95,0.24,
SKU-005-013,PRV-005,Bloomwell,Everyday Sock Pack,Everyday,Sock Pack,Sustainable basics,Unisex,Stone,One Size,73.95,0.24,
SKU-005-014,PRV-005,Bloomwell,Organic Core Sock Pack,Organic Core,Sock Pack,Sustainable basics,Unisex,Navy,34-46,41.95,0.24,
SKU-005-015,PRV-005,Bloomwell,Reworn Sock Pack,Reworn,Sock Pack,Sustainable basics,Women,Sand,XS-XL,22.95,0.24,
SKU-005-016,PRV-005,Bloomwell,Everyday Jersey Dress,Everyday,Jersey Dress,Sustainable basics,Women,Cream,S-XL,20.95,0.24,
SKU-005-017,PRV-005,Bloomwell,Organic Core Jersey Dress,Organic Core,Jersey Dress,Sustainable basics,Unisex,Charcoal,34-46,20.95,0.24,
SKU-005-018,PRV-005,Bloomwell,Reworn Jersey Dress,Reworn,Jersey Dress,Sustainable basics,Men,Charcoal,34-46,40.95,0.24,
SKU-005-019,PRV-005,Bloomwell,Everyday Legging,Everyday,Legging,Sustainable basics,Women,Ecru,26-36,30.95,0.24,
SKU-005-020,PRV-005,Bloomwell,Organic Core Legging,Organic Core,Legging,Sustainable basics,Men,Charcoal,34-46,35.95,0.24,
SKU-005-021,PRV-005,Bloomwell,Reworn Legging,Reworn,Legging,Sustainable basics,Women,Terracotta,36-44,63.95,0.24,
SKU-005-022,PRV-005,Bloomwell,Everyday Tee,Everyday,Tee,Sustainable basics,Men,Burgundy,XS-XXL,60.95,0.24,
SKU-006-001,PRV-006,Tessuto Milano,Filo Merino Crew,Filo,Merino Crew,Knitwear,Women,Rust,34-46,229.95,0.21,
SKU-006-002,PRV-006,Tessuto Milano,Alpino Merino Crew,Alpino,Merino Crew,Knitwear,Unisex,Olive,26-36,197.95,0.21,
SKU-006-003,PRV-006,Tessuto Milano,Corso Merino Crew,Corso,Merino Crew,Knitwear,Women,Stone,XS-XXL,63.95,0.21,
SKU-006-004,PRV-006,Tessuto Milano,Filo Cable Knit,Filo,Cable Knit,Knitwear,Men,Forest,One Size,78.95,0.21,
SKU-006-005,PRV-006,Tessuto Milano,Alpino Cable Knit,Alpino,Cable Knit,Knitwear,Men,Charcoal,One Size,59.95,0.21,
SKU-006-006,PRV-006,Tessuto Milano,Corso Cable Knit,Corso,Cable Knit,Knitwear,Women,Off White,36-44,58.95,0.21,
SKU-006-007,PRV-006,Tessuto Milano,Filo Turtleneck,Filo,Turtleneck,Knitwear,Men,Stone,XS-XL,226.95,0.21,
SKU-006-008,PRV-006,Tessuto Milano,Alpino Turtleneck,Alpino,Turtleneck,Knitwear,Women,Cream,S-XL,62.95,0.21,
SKU-006-009,PRV-006,Tessuto Milano,Corso Turtleneck,Corso,Turtleneck,Knitwear,Unisex,Terracotta,XS-XL,219.95,0.21,
SKU-006-010,PRV-006,Tessuto Milano,Filo Knit Vest,Filo,Knit Vest,Knitwear,Women,Slate Blue,26-36,161.95,0.21,
SKU-006-011,PRV-006,Tessuto Milano,Alpino Knit Vest,Alpino,Knit Vest,Knitwear,Unisex,Forest,XS-XL,88.95,0.21,
SKU-006-012,PRV-006,Tessuto Milano,Corso Knit Vest,Corso,Knit Vest,Knitwear,Men,Cream,36-44,85.95,0.21,
SKU-006-013,PRV-006,Tessuto Milano,Filo Cardigan,Filo,Cardigan,Knitwear,Men,Charcoal,26-36,183.95,0.21,
SKU-006-014,PRV-006,Tessuto Milano,Alpino Cardigan,Alpino,Cardigan,Knitwear,Men,Burgundy,26-36,193.95,0.21,
SKU-006-015,PRV-006,Tessuto Milano,Corso Cardigan,Corso,Cardigan,Knitwear,Men,Cream,XS-XXL,217.95,0.21,
SKU-006-016,PRV-006,Tessuto Milano,Filo Knit Dress,Filo,Knit Dress,Knitwear,Unisex,Black,34-46,158.95,0.21,
SKU-006-017,PRV-006,Tessuto Milano,Alpino Knit Dress,Alpino,Knit Dress,Knitwear,Unisex,Cream,26-36,81.95,0.21,
SKU-006-018,PRV-006,Tessuto Milano,Corso Knit Dress,Corso,Knit Dress,Knitwear,Women,Black,34-46,83.95,0.21,
SKU-006-019,PRV-006,Tessuto Milano,Filo Scarf,Filo,Scarf,Knitwear,Unisex,Ecru,S-XL,220.95,0.21,
SKU-006-020,PRV-006,Tessuto Milano,Alpino Scarf,Alpino,Scarf,Knitwear,Men,Off White,S-XL,199.95,0.21,
SKU-007-001,PRV-007,Kappler & Sohn,Loden Parka,Loden,Parka,Heritage outerwear,Women,Sand,34-46,172.95,0.2,2026-02
SKU-007-002,PRV-007,Kappler & Sohn,Feldjacke Parka,Feldjacke,Parka,Heritage outerwear,Men,Navy,26-36,95.95,0.2,
SKU-007-003,PRV-007,Kappler & Sohn,Kontor Parka,Kontor,Parka,Heritage outerwear,Men,Sand,One Size,352.95,0.2,
SKU-007-004,PRV-007,Kappler & Sohn,Loden Wool Overcoat,Loden,Wool Overcoat,Heritage outerwear,Women,Black,26-36,126.95,0.2,
SKU-007-005,PRV-007,Kappler & Sohn,Feldjacke Wool Overcoat,Feldjacke,Wool Overcoat,Heritage outerwear,Men,Off White,XS-XL,89.95,0.2,2026-02
SKU-007-006,PRV-007,Kappler & Sohn,Kontor Wool Overcoat,Kontor,Wool Overcoat,Heritage outerwear,Unisex,Navy,XS-XL,400.95,0.2,
SKU-007-007,PRV-007,Kappler & Sohn,Loden Field Jacket,Loden,Field Jacket,Heritage outerwear,Unisex,Cream,34-46,352.95,0.2,
SKU-007-008,PRV-007,Kappler & Sohn,Feldjacke Field Jacket,Feldjacke,Field Jacket,Heritage outerwear,Men,Black,XS-XXL,437.95,0.2,
SKU-007-009,PRV-007,Kappler & Sohn,Kontor Field Jacket,Kontor,Field Jacket,Heritage outerwear,Women,Charcoal,S-XL,232.95,0.2,
SKU-007-010,PRV-007,Kappler & Sohn,Loden Quilted Vest,Loden,Quilted Vest,Heritage outerwear,Women,Rust,XS-XXL,239.95,0.2,
SKU-007-011,PRV-007,Kappler & Sohn,Feldjacke Quilted Vest,Feldjacke,Quilted Vest,Heritage outerwear,Men,Cream,One Size,402.95,0.2,
SKU-007-012,PRV-007,Kappler & Sohn,Kontor Quilted Vest,Kontor,Quilted Vest,Heritage outerwear,Women,Terracotta,One Size,345.95,0.2,
SKU-007-013,PRV-007,Kappler & Sohn,Loden Peacoat,Loden,Peacoat,Heritage outerwear,Unisex,Cream,XS-XXL,227.95,0.2,
SKU-007-014,PRV-007,Kappler & Sohn,Feldjacke Peacoat,Feldjacke,Peacoat,Heritage outerwear,Unisex,Forest,One Size,275.95,0.2,
SKU-007-015,PRV-007,Kappler & Sohn,Kontor Peacoat,Kontor,Peacoat,Heritage outerwear,Unisex,Burgundy,One Size,182.95,0.2,
SKU-007-016,PRV-007,Kappler & Sohn,Loden Rain Coat,Loden,Rain Coat,Heritage outerwear,Unisex,Olive,34-46,183.95,0.2,
SKU-007-017,PRV-007,Kappler & Sohn,Feldjacke Rain Coat,Feldjacke,Rain Coat,Heritage outerwear,Unisex,Navy,26-36,266.95,0.2,
SKU-007-018,PRV-007,Kappler & Sohn,Kontor Rain Coat,Kontor,Rain Coat,Heritage outerwear,Women,Navy,34-46,187.95,0.2,
SKU-008-001,PRV-008,Lumen Athletics,Flux Sports Bra,Flux,Sports Bra,Activewear,Women,Cream,34-46,96.95,0.25,
SKU-008-002,PRV-008,Lumen Athletics,Halo Sports Bra,Halo,Sports Bra,Activewear,Men,Off White,34-46,112.95,0.25,
SKU-008-003,PRV-008,Lumen Athletics,Kinetic Sports Bra,Kinetic,Sports Bra,Activewear,Men,Rust,S-XL,24.95,0.25,
SKU-008-004,PRV-008,Lumen Athletics,Flux Seamless Legging,Flux,Seamless Legging,Activewear,Men,Navy,26-36,24.95,0.25,
SKU-008-005,PRV-008,Lumen Athletics,Halo Seamless Legging,Halo,Seamless Legging,Activewear,Unisex,Cream,S-XL,30.95,0.25,
SKU-008-006,PRV-008,Lumen Athletics,Kinetic Seamless Legging,Kinetic,Seamless Legging,Activewear,Women,Forest,26-36,111.95,0.25,
SKU-008-007,PRV-008,Lumen Athletics,Flux Training Short,Flux,Training Short,Activewear,Men,Olive,One Size,92.95,0.25,
SKU-008-008,PRV-008,Lumen Athletics,Halo Training Short,Halo,Training Short,Activewear,Men,Navy,XS-XL,25.95,0.25,
SKU-008-009,PRV-008,Lumen Athletics,Kinetic Training Short,Kinetic,Training Short,Activewear,Unisex,Sand,S-XL,88.95,0.25,
SKU-008-010,PRV-008,Lumen Athletics,Flux Running Tee,Flux,Running Tee,Activewear,Men,Stone,26-36,57.95,0.25,
SKU-008-011,PRV-008,Lumen Athletics,Halo Running Tee,Halo,Running Tee,Activewear,Men,Navy,S-XL,26.95,0.25,
SKU-008-012,PRV-008,Lumen Athletics,Kinetic Running Tee,Kinetic,Running Tee,Activewear,Unisex,Cream,XS-XL,26.95,0.25,
SKU-008-013,PRV-008,Lumen Athletics,Flux Zip Hoodie,Flux,Zip Hoodie,Activewear,Women,Off White,One Size,40.95,0.25,
SKU-008-014,PRV-008,Lumen Athletics,Halo Zip Hoodie,Halo,Zip Hoodie,Activewear,Men,Ecru,34-46,65.95,0.25,
SKU-008-015,PRV-008,Lumen Athletics,Kinetic Zip Hoodie,Kinetic,Zip Hoodie,Activewear,Unisex,Ecru,34-46,96.95,0.25,
SKU-008-016,PRV-008,Lumen Athletics,Flux Tank,Flux,Tank,Activewear,Men,Sand,26-36,26.95,0.25,
SKU-008-017,PRV-008,Lumen Athletics,Halo Tank,Halo,Tank,Activewear,Men,Navy,One Size,109.95,0.25,
