shift_date,shift,machine_id,plant_id,planned_production_time_min,stop_time_min,run_time_min,changeover_min_excluded_from_planned,ideal_cycle_time_sec,total_count,good_count,scheduled_units
2026-03-04,C,CNC-03,STW,480.0,243.2,236.8,0.0,48.0,286,282,286
2026-03-04,C,CNC-04,STW,480.0,104.6,375.4,0.0,48.0,453,450,434
2026-03-04,C,GRIND-01,STW,480.0,130.0,350.0,0.0,76.0,266,263,245
2026-03-04,A,ASSY-01,VLD,400.0,0.0,400.0,80.0,31.0,755,739,718
2026-03-04,A,ASSY-02,VLD,443.8,82.1,361.8,36.2,31.0,663,643,616
2026-03-04,A,LEAK-01,VLD,480.0,88.6,391.4,0.0,22.0,1025,999,1013
2026-03-04,A,PACK-01,VLD,480.0,82.8,397.2,0.0,9.5,2412,2374,2247
2026-03-04,B,ASSY-01,VLD,480.0,130.8,349.2,0.0,31.0,650,639,644
2026-03-04,B,ASSY-02,VLD,430.4,54.0,376.4,49.6,31.0,681,667,641
2026-03-04,B,LEAK-01,VLD,441.5,27.8,413.7,38.5,22.0,1085,1063,1030
2026-03-04,B,PACK-01,VLD,463.6,83.2,380.4,16.4,9.5,2318,2088,2248
2026-03-05,A,PRESS-01,BRM,480.0,144.3,335.7,0.0,4.2,4528,4439,4205
2026-03-05,A,PRESS-02,BRM,480.0,238.9,241.1,0.0,3.1,4525,4411,4198
2026-03-05,A,PRESS-03,BRM,480.0,78.6,401.4,0.0,2.4,9565,9440,9109
2026-03-05,A,WELD-01,BRM,480.0,86.9,393.1,0.0,18.5,1027,1016,992
2026-03-05,A,WELD-02,BRM,480.0,89.2,390.8,0.0,18.5,1216,1210,1186
2026-03-05,B,PRESS-01,BRM,480.0,193.6,286.4,0.0,4.2,4004,3878,3828
2026-03-05,B,PRESS-02,BRM,480.0,204.6,275.4,0.0,3.1,5046,4973,4973
2026-03-05,B,PRESS-03,BRM,480.0,81.8,398.2,0.0,2.4,9729,9493,8929
2026-03-05,B,WELD-01,BRM,480.0,58.6,421.4,0.0,18.5,1204,1190,1099
2026-03-05,B,WELD-02,BRM,480.0,63.1,416.9,0.0,18.5,1325,1309,1253
2026-03-05,C,PRESS-01,BRM,480.0,216.3,263.7,0.0,4.2,3590,3508,3309
2026-03-05,C,PRESS-02,BRM,480.0,331.7,148.3,0.0,3.1,2817,2762,2735
2026-03-05,C,PRESS-03,BRM,480.0,155.9,324.1,0.0,2.4,7942,7816,7376
2026-03-05,C,WELD-01,BRM,480.0,57.7,422.3,0.0,18.5,1192,1165,1109
2026-03-05,C,WELD-02,BRM,480.0,235.0,245.0,0.0,18.5,758,749,764
2026-03-05,A,CNC-01,STW,480.0,98.9,381.1,0.0,52.0,419,418,289
2026-03-05,A,CNC-02,STW,480.0,127.9,352.1,0.0,52.0,400,396,377
2026-03-05,A,CNC-03,STW,480.0,317.0,163.0,0.0,48.0,198,196,189
2026-03-05,A,CNC-04,STW,480.0,62.5,417.5,0.0,48.0,502,497,489
2026-03-05,A,GRIND-01,STW,480.0,98.7,381.3,0.0,76.0,289,288,269
2026-03-05,B,CNC-01,STW,480.0,97.1,382.9,0.0,52.0,438,435,300
2026-03-05,B,CNC-02,STW,480.0,118.3,361.7,0.0,52.0,405,400,400
2026-03-05,B,CNC-03,STW,480.0,250.5,229.5,0.0,48.0,282,279,283
2026-03-05,B,CNC-04,STW,480.0,85.8,394.2,0.0,48.0,492,487,452
2026-03-05,B,GRIND-01,STW,480.0,120.1,359.9,0.0,76.0,275,270,275
2026-03-05,C,CNC-01,STW,480.0,126.6,353.4,0.0,52.0,390,387,289
2026-03-05,C,CNC-02,STW,480.0,133.9,346.1,0.0,52.0,384,379,364
2026-03-05,C,CNC-03,STW,480.0,302.2,177.8,0.0,48.0,215,213,211
2026-03-05,C,CNC-04,STW,480.0,113.3,366.7,0.0,48.0,443,441,426
2026-03-05,C,GRIND-01,STW,480.0,99.4,380.6,0.0,76.0,289,285,276
2026-03-05,A,ASSY-01,VLD,410.0,20.6,389.3,70.0,31.0,721,706,671
2026-03-05,A,ASSY-02,VLD,448.2,82.4,365.8,31.8,31.0,681,667,679
2026-03-05,A,LEAK-01,VLD,480.0,99.9,380.1,0.0,22.0,1001,984,985
2026-03-05,A,PACK-01,VLD,408.3,38.7,369.6,71.7,9.5,2280,2061,2122
2026-03-05,B,ASSY-01,VLD,480.0,106.3,373.7,0.0,31.0,714,702,688
2026-03-05,B,ASSY-02,VLD,447.3,102.9,344.4,32.7,31.0,623,609,581
2026-03-05,B,LEAK-01,VLD,480.0,69.0,411.0,0.0,22.0,1080,1055,1007
2026-03-05,B,PACK-01,VLD,480.0,101.7,378.3,0.0,9.5,2228,2208,2067
2026-03-06,A,PRESS-01,BRM,480.0,153.4,326.6,0.0,4.2,4407,4304,4091
2026-03-06,A,PRESS-02,BRM,480.0,212.9,267.1,0.0,3.1,4852,4720,4812
2026-03-06,A,PRESS-03,BRM,480.0,74.8,405.2,0.0,2.4,10130,10051,9373
2026-03-06,A,WELD-01,BRM,480.0,101.8,378.2,0.0,18.5,1038,1024,1017
2026-03-06,A,WELD-02,BRM,480.0,90.8,389.2,0.0,18.5,1260,1248,1222
2026-03-06,B,PRESS-01,BRM,480.0,127.4,352.6,0.0,4.2,4623,4538,4488
2026-03-06,B,PRESS-02,BRM,480.0,176.6,303.4,0.0,3.1,5601,5528,5116
2026-03-06,B,PRESS-03,BRM,480.0,69.7,410.3,0.0,2.4,10115,9900,9977
2026-03-06,B,WELD-01,BRM,480.0,49.3,430.7,0.0,18.5,1238,1213,1175
2026-03-06,B,WELD-02,BRM,480.0,77.7,402.3,0.0,18.5,1286,1262,1176
2026-03-06,C,PRESS-01,BRM,480.0,250.8,229.2,0.0,4.2,3005,2918,2841
2026-03-06,C,PRESS-02,BRM,480.0,319.3,160.7,0.0,3.1,2950,2858,2933
2026-03-06,C,PRESS-03,BRM,480.0,169.9,310.1,0.0,2.4,7440,7329,6881
2026-03-06,C,WELD-01,BRM,480.0,85.4,394.6,0.0,18.5,1108,1097,1043
2026-03-06,C,WELD-02,BRM,480.0,137.3,342.7,0.0,18.5,1068,1062,983
2026-03-06,A,CNC-01,STW,480.0,70.4,409.6,0.0,52.0,457,450,323
2026-03-06,A,CNC-02,STW,480.0,78.6,401.4,0.0,52.0,450,447,438
2026-03-06,A,CNC-03,STW,480.0,203.4,276.6,0.0,48.0,339,338,358
2026-03-06,A,CNC-04,STW,480.0,70.9,409.1,0.0,48.0,505,502,493
2026-03-06,A,GRIND-01,STW,480.0,159.4,320.6,0.0,76.0,250,244,237
2026-03-06,B,CNC-01,STW,480.0,68.2,411.8,0.0,52.0,462,460,321
2026-03-06,B,CNC-02,STW,480.0,132.3,347.7,0.0,52.0,399,396,367
2026-03-06,B,CNC-03,STW,480.0,460.0,20.0,0.0,48.0,24,24,25
2026-03-06,B,CNC-04,STW,480.0,83.5,396.5,0.0,48.0,490,485,479
2026-03-06,B,GRIND-01,STW,480.0,106.6,373.4,0.0,76.0,282,278,262
2026-03-06,C,CNC-01,STW,480.0,98.4,381.6,0.0,52.0,422,422,287
2026-03-06,C,CNC-02,STW,480.0,108.9,371.1,0.0,52.0,410,407,392
2026-03-06,C,CNC-03,STW,480.0,344.8,135.2,0.0,48.0,161,159,164
2026-03-06,C,CNC-04,STW,480.0,99.0,381.0,0.0,48.0,465,462,464
2026-03-06,C,GRIND-01,STW,480.0,149.5,330.5,0.0,76.0,246,243,246
2026-03-06,A,ASSY-01,VLD,438.8,73.3,365.5,41.2,31.0,666,651,624
2026-03-06,A,ASSY-02,VLD,445.2,97.2,348.0,34.8,31.0,638,627,594
2026-03-06,A,LEAK-01,VLD,442.3,67.1,375.2,37.7,22.0,969,954,960
2026-03-06,A,PACK-01,VLD,439.4,66.8,372.6,40.6,9.5,2255,2047,2182
2026-03-06,B,ASSY-01,VLD,445.0,73.9,371.1,35.0,31.0,696,684,657
2026-03-06,B,ASSY-02,VLD,363.6,0.0,363.6,116.4,31.0,667,651,643
2026-03-06,B,LEAK-01,VLD,480.0,94.7,385.3,0.0,22.0,1012,986,933
2026-03-06,B,PACK-01,VLD,458.0,90.8,367.3,22.0,9.5,2256,2061,2069
2026-03-07,A,PRESS-01,BRM,480.0,158.4,321.6,0.0,4.2,4257,4167,3884
2026-03-07,A,PRESS-02,BRM,480.0,326.2,153.8,0.0,3.1,2889,2826,2635
2026-03-07,A,PRESS-03,BRM,480.0,87.5,392.5,0.0,2.4,9410,9219,8922
2026-03-07,A,WELD-01,BRM,480.0,58.3,421.7,0.0,18.5,1125,1106,1102
2026-03-07,A,WELD-02,BRM,480.0,90.9,389.1,0.0,18.5,1202,1181,1123
2026-03-07,A,CNC-01,STW,480.0,108.2,371.8,0.0,52.0,411,409,296
2026-03-07,A,CNC-02,STW,480.0,117.2,362.8,0.0,52.0,400,397,401
2026-03-07,A,CNC-03,STW,480.0,460.0,20.0,0.0,48.0,24,24,24
2026-03-07,A,CNC-04,STW,480.0,63.6,416.4,0.0,48.0,515,512,490
2026-03-07,A,GRIND-01,STW,480.0,101.0,379.0,0.0,76.0,293,289,290
2026-03-09,A,PRESS-01,BRM,480.0,148.4,331.6,0.0,4.2,4309,4179,4167
2026-03-09,A,PRESS-02,BRM,480.0,200.0,280.0,0.0,3.1,5263,5150,5284
2026-03-09,A,PRESS-03,BRM,480.0,87.3,392.7,0.0,2.4,9519,9366,8899
2026-03-09,A,WELD-01,BRM,480.0,59.7,420.3,0.0,18.5,1198,1181,1178
2026-03-09,A,WELD-02,BRM,480.0,86.7,393.3,0.0,18.5,1222,1211,1137
2026-03-09,B,PRESS-01,BRM,480.0,177.6,302.4,0.0,4.2,4063,3968,3804
2026-03-09,B,PRESS-02,BRM,480.0,181.2,298.8,0.0,3.1,5388,5228,4982
2026-03-09,B,PRESS-03,BRM,480.0,90.3,389.7,0.0,2.4,9507,9330,8748
2026-03-09,B,WELD-01,BRM,480.0,56.9,423.1,0.0,18.5,1248,1227,1241
2026-03-09,B,WELD-02,BRM,480.0,89.7,390.3,0.0,18.5,1226,1217,1181
2026-03-09,C,PRESS-01,BRM,480.0,282.2,197.8,0.0,4.2,2653,2572,2511
2026-03-09,C,PRESS-02,BRM,480.0,266.1,213.9,0.0,3.1,3987,3890,3721
2026-03-09,C,PRESS-03,BRM,480.0,131.7,348.3,0.0,2.4,8313,8124,7726
2026-03-09,C,WELD-01,BRM,480.0,87.9,392.1,0.0,18.5,1067,1056,996
2026-03-09,C,WELD-02,BRM,480.0,84.5,395.5,0.0,18.5,1244,1236,1224
2026-03-09,A,CNC-01,STW,480.0,83.5,396.5,0.0,52.0,448,443,316
2026-03-09,A,CNC-02,STW,480.0,136.5,343.5,0.0,52.0,387,382,362
2026-03-09,A,CNC-03,STW,480.0,226.6,253.4,0.0,48.0,308,307,309
2026-03-09,A,CNC-04,STW,480.0,95.4,384.6,0.0,48.0,473,472,438
2026-03-09,A,GRIND-01,STW,480.0,95.8,384.2,0.0,76.0,290,288,271
2026-03-09,B,CNC-01,STW,480.0,85.2,394.8,0.0,52.0,437,434,310
2026-03-09,B,CNC-02,STW,480.0,118.7,361.3,0.0,52.0,394,390,392
2026-03-09,B,CNC-03,STW,480.0,278.6,201.4,0.0,48.0,247,244,240
2026-03-09,B,CNC-04,STW,480.0,61.8,418.2,0.0,48.0,502,498,488
2026-03-09,B,GRIND-01,STW,480.0,160.7,319.3,0.0,76.0,246,241,240
2026-03-09,C,CNC-01,STW,480.0,112.7,367.3,0.0,52.0,410,406,294
2026-03-09,C,CNC-02,STW,480.0,89.3,390.7,0.0,52.0,420,415,394
2026-03-09,C,CNC-03,STW,480.0,284.1,195.9,0.0,48.0,234,232,235
2026-03-09,C,CNC-04,STW,480.0,101.8,378.2,0.0,48.0,457,455,422
2026-03-09,C,GRIND-01,STW,480.0,140.9,339.1,0.0,76.0,253,252,238
2026-03-09,A,ASSY-01,VLD,480.0,99.8,380.2,0.0,31.0,694,685,639
2026-03-09,A,ASSY-02,VLD,447.3,43.7,403.5,32.7,31.0,731,719,707
2026-03-09,A,LEAK-01,VLD,480.0,80.0,400.0,0.0,22.0,1074,1062,1042
2026-03-09,A,PACK-01,VLD,463.5,53.9,409.6,16.5,9.5,2574,2314,2577
2026-03-09,B,ASSY-01,VLD,480.0,121.3,358.7,0.0,31.0,664,651,618
2026-03-09,B,ASSY-02,VLD,438.8,74.5,364.3,41.2,31.0,660,649,612
2026-03-09,B,LEAK-01,VLD,480.0,88.4,391.6,0.0,22.0,1047,1027,1019
2026-03-09,B,PACK-01,VLD,429.9,26.1,403.8,50.1,9.5,2497,2270,2279
2026-03-10,A,PRESS-01,BRM,480.0,139.0,341.0,0.0,4.2,4491,4407,4274
2026-03-10,A,PRESS-02,BRM,480.0,243.0,237.0,0.0,3.1,4428,4296,4322
2026-03-10,A,PRESS-03,BRM,480.0,116.4,363.6,0.0,2.4,8888,8768,8698
2026-03-10,A,WELD-01,BRM,480.0,48.4,431.6,0.0,18.5,1208,1177,1174
2026-03-10,A,WELD-02,BRM,480.0,99.3,380.7,0.0,18.5,1198,1185,1155
2026-03-10,B,PRESS-01,BRM,480.0,127.9,352.1,0.0,4.2,4856,4747,4891
2026-03-10,B,PRESS-02,BRM,480.0,235.1,244.9,0.0,3.1,4524,4422,4436
2026-03-10,B,PRESS-03,BRM,480.0,97.1,382.9,0.0,2.4,9425,9344,8828
2026-03-10,B,WELD-01,BRM,480.0,46.9,433.1,0.0,18.5,1213,1184,1113
2026-03-10,B,WELD-02,BRM,480.0,76.6,403.4,0.0,18.5,1267,1264,1276
2026-03-10,C,PRESS-01,BRM,480.0,176.4,303.6,0.0,4.2,4111,3969,4089
2026-03-10,C,PRESS-02,BRM,480.0,339.0,141.0,0.0,3.1,2621,2562,2450
2026-03-10,C,PRESS-03,BRM,480.0,105.3,374.7,0.0,2.4,8864,8722,8280
2026-03-10,C,WELD-01,BRM,480.0,64.8,415.2,0.0,18.5,1143,1127,1056
2026-03-10,C,WELD-02,BRM,480.0,138.6,341.4,0.0,18.5,1039,1031,977
2026-03-10,A,CNC-01,STW,480.0,76.1,403.9,0.0,52.0,447,446,320
2026-03-10,A,CNC-02,STW,480.0,128.8,351.2,0.0,52.0,390,388,383
2026-03-10,A,CNC-03,STW,480.0,378.3,101.7,0.0,48.0,119,119,118
2026-03-10,A,CNC-04,STW,480.0,69.3,410.7,0.0,48.0,497,488,496
2026-03-10,A,GRIND-01,STW,480.0,106.4,373.6,0.0,76.0,286,284,261
2026-03-10,B,CNC-01,STW,480.0,107.9,372.1,0.0,52.0,422,419,300
2026-03-10,B,CNC-02,STW,480.0,85.4,394.6,0.0,52.0,441,438,412
2026-03-10,B,CNC-03,STW,480.0,275.2,204.8,0.0,48.0,250,249,259
2026-03-10,B,CNC-04,STW,480.0,86.5,393.5,0.0,48.0,480,479,454
2026-03-10,B,GRIND-01,STW,480.0,152.4,327.6,0.0,76.0,248,244,233
2026-03-10,C,CNC-01,STW,480.0,99.8,380.2,0.0,52.0,412,408,307
2026-03-10,C,CNC-02,STW,480.0,103.2,376.8,0.0,52.0,416,413,403
2026-03-10,C,CNC-03,STW,480.0,302.2,177.8,0.0,48.0,212,210,223
2026-03-10,C,CNC-04,STW,480.0,113.3,366.7,0.0,48.0,443,441,426
2026-03-10,C,GRIND-01,STW,480.0,100.1,379.9,0.0,76.0,284,279,270
2026-03-10,A,ASSY-01,VLD,480.0,111.0,369.0,0.0,31.0,666,659,662
2026-03-10,A,ASSY-02,VLD,480.0,118.5,361.5,0.0,31.0,682,667,674
2026-03-10,A,LEAK-01,VLD,480.0,104.6,375.4,0.0,22.0,978,958,937
2026-03-10,A,PACK-01,VLD,480.0,74.8,405.2,0.0,9.5,2437,2385,2375
2026-03-10,B,ASSY-01,VLD,480.0,100.7,379.3,0.0,31.0,697,682,650
2026-03-10,B,ASSY-02,VLD,480.0,77.1,402.9,0.0,31.0,750,739,712
2026-03-10,B,LEAK-01,VLD,463.1,39.2,423.9,16.9,22.0,1113,1091,1070
2026-03-10,B,PACK-01,VLD,465.7,61.2,404.5,14.3,9.5,2488,2277,2458
2026-03-11,A,PRESS-01,BRM,480.0,164.4,315.6,0.0,4.2,4319,4206,3993
2026-03-11,A,PRESS-02,BRM,480.0,278.3,201.7,0.0,3.1,3699,3604,3627
2026-03-11,A,PRESS-03,BRM,480.0,115.4,364.6,0.0,2.4,8840,8702,8510
2026-03-11,A,WELD-01,BRM,480.0,40.4,439.6,0.0,18.5,1272,1247,1227
2026-03-11,A,WELD-02,BRM,480.0,62.3,417.7,0.0,18.5,1313,1285,1272
2026-03-11,B,PRESS-01,BRM,480.0,139.4,340.6,0.0,4.2,4728,4655,4546
2026-03-11,B,PRESS-02,BRM,480.0,241.5,238.5,0.0,3.1,4412,4314,4076
2026-03-11,B,PRESS-03,BRM,480.0,108.9,371.1,0.0,2.4,8847,8775,8416
2026-03-11,B,WELD-01,BRM,480.0,56.9,423.1,0.0,18.5,1214,1195,1109
2026-03-11,B,WELD-02,BRM,480.0,62.1,417.9,0.0,18.5,1300,1279,1263
2026-03-11,C,PRESS-01,BRM,480.0,160.8,319.2,0.0,4.2,4220,4132,4126
2026-03-11,C,PRESS-02,BRM,480.0,298.9,181.1,0.0,3.1,3290,3207,3146
2026-03-11,C,PRESS-03,BRM,480.0,99.2,380.8,0.0,2.4,9286,9146,9301
2026-03-11,C,WELD-01,BRM,480.0,181.3,298.7,0.0,18.5,852,837,790
2026-03-11,C,WELD-02,BRM,480.0,91.6,388.4,0.0,18.5,1217,1206,1136
2026-03-11,A,CNC-01,STW,480.0,68.2,411.8,0.0,52.0,455,450,328
2026-03-11,A,CNC-02,STW,480.0,69.9,410.1,0.0,52.0,457,452,416
2026-03-11,A,CNC-03,STW,480.0,235.9,244.1,0.0,48.0,299,296,309
2026-03-11,A,CNC-04,STW,480.0,63.3,416.7,0.0,48.0,510,507,481
2026-03-11,A,GRIND-01,STW,480.0,103.2,376.8,0.0,76.0,284,281,280
2026-03-11,B,CNC-01,STW,480.0,114.4,365.6,0.0,52.0,401,399,285
