iso_week,machine_id,plant_id,defect_code,units
2026-W11,ASSY-02,VLD,SU-WARM,14
2026-W11,CNC-01,STW,BURR,4
2026-W11,CNC-01,STW,DIM-OOT,26
2026-W11,CNC-01,STW,SU-SETUP,2
2026-W11,CNC-01,STW,SU-WARM,1
2026-W11,CNC-01,STW,SURF,23
2026-W11,CNC-02,STW,BURR,2
2026-W11,CNC-02,STW,DIM-OOT,25
2026-W11,CNC-02,STW,SU-SETUP,1
2026-W11,CNC-02,STW,SURF,27
2026-W11,CNC-03,STW,BURR,1
2026-W11,CNC-03,STW,DIM-OOT,13
2026-W11,CNC-03,STW,SURF,10
2026-W11,CNC-04,STW,BURR,1
2026-W11,CNC-04,STW,DIM-OOT,18
2026-W11,CNC-04,STW,SU-SETUP,3
2026-W11,CNC-04,STW,SU-WARM,4
2026-W11,CNC-04,STW,SURF,17
2026-W11,GRIND-01,STW,DIM-OOT,22
2026-W11,GRIND-01,STW,SU-SETUP,4
2026-W11,GRIND-01,STW,SU-WARM,2
2026-W11,GRIND-01,STW,SURF,18
2026-W11,LEAK-01,VLD,LEAK-FAIL,204
2026-W11,LEAK-01,VLD,SU-SETUP,5
2026-W11,LEAK-01,VLD,SU-WARM,4
2026-W11,PACK-01,VLD,ASSY-MISS,78
2026-W11,PACK-01,VLD,SU-SETUP,693
2026-W11,PACK-01,VLD,SU-WARM,645
2026-W11,PACK-01,VLD,SURF,77
2026-W11,PRESS-01,BRM,BURR,583
2026-W11,PRESS-01,BRM,DIM-OOT,591
2026-W11,PRESS-01,BRM,SU-SETUP,140
2026-W11,PRESS-01,BRM,SU-WARM,174
2026-W11,PRESS-01,BRM,SURF,44
2026-W11,PRESS-02,BRM,BURR,408
2026-W11,PRESS-02,BRM,DIM-OOT,580
2026-W11,PRESS-02,BRM,SU-SETUP,321
2026-W11,PRESS-02,BRM,SU-WARM,313
2026-W11,PRESS-02,BRM,SURF,37
2026-W11,PRESS-03,BRM,BURR,705
2026-W11,PRESS-03,BRM,DIM-OOT,790
2026-W11,PRESS-03,BRM,SU-SETUP,226
2026-W11,PRESS-03,BRM,SU-WARM,210
2026-W11,PRESS-03,BRM,SURF,26
2026-W11,WELD-01,BRM,DIM-OOT,134
2026-W11,WELD-01,BRM,SU-SETUP,29
2026-W11,WELD-01,BRM,SU-WARM,19
2026-W11,WELD-01,BRM,WELD-POR,145
2026-W11,WELD-02,BRM,DIM-OOT,75
2026-W11,WELD-02,BRM,SU-SETUP,13
2026-W11,WELD-02,BRM,SU-WARM,13
2026-W11,WELD-02,BRM,WELD-POR,75
2026-W12,ASSY-01,VLD,ASSY-MISS,59
2026-W12,ASSY-01,VLD,DIM-OOT,48
2026-W12,ASSY-01,VLD,SU-SETUP,15
2026-W12,ASSY-01,VLD,SU-WARM,15
2026-W12,ASSY-02,VLD,ASSY-MISS,58
2026-W12,ASSY-02,VLD,DIM-OOT,58
2026-W12,ASSY-02,VLD,SU-SETUP,18
2026-W12,ASSY-02,VLD,SU-WARM,17
2026-W12,CNC-01,STW,BURR,3
2026-W12,CNC-01,STW,DIM-OOT,22
2026-W12,CNC-01,STW,SURF,17
2026-W12,CNC-02,STW,BURR,3
2026-W12,CNC-02,STW,DIM-OOT,26
2026-W12,CNC-02,STW,SU-SETUP,3
2026-W12,CNC-02,STW,SU-WARM,3
2026-W12,CNC-02,STW,SURF,18
2026-W12,CNC-03,STW,BURR,1
2026-W12,CNC-03,STW,DIM-OOT,15
2026-W12,CNC-03,STW,SU-SETUP,2
2026-W12,CNC-03,STW,SU-WARM,1
2026-W12,CNC-03,STW,SURF,10
2026-W12,CNC-04,STW,BURR,3
2026-W12,CNC-04,STW,DIM-OOT,20
2026-W12,CNC-04,STW,SU-SETUP,4
2026-W12,CNC-04,STW,SU-WARM,2
2026-W12,CNC-04,STW,SURF,18
2026-W12,GRIND-01,STW,DIM-OOT,21
2026-W12,GRIND-01,STW,SU-SETUP,1
2026-W12,GRIND-01,STW,SU-WARM,1
2026-W12,GRIND-01,STW,SURF,20
2026-W12,LEAK-01,VLD,LEAK-FAIL,195
2026-W12,LEAK-01,VLD,SU-SETUP,7
2026-W12,LEAK-01,VLD,SU-WARM,7
2026-W12,PACK-01,VLD,ASSY-MISS,107
2026-W12,PACK-01,VLD,SU-SETUP,708
2026-W12,PACK-01,VLD,SU-WARM,534
2026-W12,PACK-01,VLD,SURF,74
2026-W12,PRESS-01,BRM,BURR,578
2026-W12,PRESS-01,BRM,DIM-OOT,733
2026-W12,PRESS-01,BRM,SU-SETUP,78
2026-W12,PRESS-01,BRM,SU-WARM,79
2026-W12,PRESS-01,BRM,SURF,45
2026-W12,PRESS-02,BRM,BURR,340
2026-W12,PRESS-02,BRM,DIM-OOT,410
2026-W12,PRESS-02,BRM,SU-SETUP,273
2026-W12,PRESS-02,BRM,SU-WARM,232
2026-W12,PRESS-02,BRM,SURF,45
2026-W12,PRESS-03,BRM,BURR,741
2026-W12,PRESS-03,BRM,DIM-OOT,868
2026-W12,PRESS-03,BRM,SU-SETUP,248
2026-W12,PRESS-03,BRM,SU-WARM,207
2026-W12,PRESS-03,BRM,SURF,93
2026-W12,WELD-01,BRM,DIM-OOT,148
2026-W12,WELD-01,BRM,SU-SETUP,21
2026-W12,WELD-01,BRM,SU-WARM,16
2026-W12,WELD-01,BRM,WELD-POR,139
2026-W12,WELD-02,BRM,DIM-OOT,88
2026-W12,WELD-02,BRM,SU-SETUP,9
2026-W12,WELD-02,BRM,SU-WARM,8
2026-W12,WELD-02,BRM,WELD-POR,107
2026-W13,ASSY-01,VLD,ASSY-MISS,48
2026-W13,ASSY-01,VLD,DIM-OOT,40
2026-W13,ASSY-01,VLD,SU-SETUP,19
2026-W13,ASSY-01,VLD,SU-WARM,16
2026-W13,ASSY-02,VLD,ASSY-MISS,47
2026-W13,ASSY-02,VLD,DIM-OOT,50
2026-W13,ASSY-02,VLD,SU-SETUP,13
2026-W13,ASSY-02,VLD,SU-WARM,13
2026-W13,CNC-01,STW,BURR,2
2026-W13,CNC-01,STW,DIM-OOT,23
2026-W13,CNC-01,STW,SU-SETUP,8
2026-W13,CNC-01,STW,SU-WARM,5
2026-W13,CNC-01,STW,SURF,19
2026-W13,CNC-02,STW,BURR,5
2026-W13,CNC-02,STW,DIM-OOT,27
2026-W13,CNC-02,STW,SU-SETUP,2
2026-W13,CNC-02,STW,SU-WARM,2
2026-W13,CNC-02,STW,SURF,19
2026-W13,CNC-03,STW,BURR,1
2026-W13,CNC-03,STW,DIM-OOT,10
2026-W13,CNC-03,STW,SU-SETUP,3
2026-W13,CNC-03,STW,SU-WARM,1
2026-W13,CNC-03,STW,SURF,13
2026-W13,CNC-04,STW,BURR,2
2026-W13,CNC-04,STW,DIM-OOT,26
2026-W13,CNC-04,STW,SU-SETUP,2
2026-W13,CNC-04,STW,SU-WARM,4
2026-W13,CNC-04,STW,SURF,24
2026-W13,GRIND-01,STW,DIM-OOT,24
2026-W13,GRIND-01,STW,SU-SETUP,2
2026-W13,GRIND-01,STW,SU-WARM,3
2026-W13,GRIND-01,STW,SURF,21
2026-W13,LEAK-01,VLD,LEAK-FAIL,208
2026-W13,LEAK-01,VLD,SU-SETUP,7
2026-W13,LEAK-01,VLD,SU-WARM,6
2026-W13,PACK-01,VLD,ASSY-MISS,90
2026-W13,PACK-01,VLD,SU-SETUP,789
2026-W13,PACK-01,VLD,SU-WARM,828
2026-W13,PACK-01,VLD,SURF,81
2026-W13,PRESS-01,BRM,BURR,519
2026-W13,PRESS-01,BRM,DIM-OOT,713
2026-W13,PRESS-01,BRM,SU-SETUP,122
2026-W13,PRESS-01,BRM,SU-WARM,99
2026-W13,PRESS-01,BRM,SURF,37
2026-W13,PRESS-02,BRM,BURR,518
2026-W13,PRESS-02,BRM,DIM-OOT,556
2026-W13,PRESS-02,BRM,SU-SETUP,268
2026-W13,PRESS-02,BRM,SU-WARM,256
2026-W13,PRESS-02,BRM,SURF,56
2026-W13,PRESS-03,BRM,BURR,585
2026-W13,PRESS-03,BRM,DIM-OOT,717
2026-W13,PRESS-03,BRM,SU-SETUP,122
2026-W13,PRESS-03,BRM,SU-WARM,133
2026-W13,PRESS-03,BRM,SURF,34
2026-W13,WELD-01,BRM,DIM-OOT,154
2026-W13,WELD-01,BRM,SU-SETUP,18
2026-W13,WELD-01,BRM,SU-WARM,21
2026-W13,WELD-01,BRM,WELD-POR,157
2026-W13,WELD-02,BRM,DIM-OOT,81
2026-W13,WELD-02,BRM,SU-SETUP,19
2026-W13,WELD-02,BRM,SU-WARM,18
2026-W13,WELD-02,BRM,WELD-POR,93
2026-W14,ASSY-01,VLD,ASSY-MISS,53
2026-W14,ASSY-01,VLD,DIM-OOT,44
2026-W14,ASSY-01,VLD,SU-SETUP,16
2026-W14,ASSY-01,VLD,SU-WARM,19
2026-W14,ASSY-02,VLD,ASSY-MISS,53
2026-W14,ASSY-02,VLD,DIM-OOT,46
2026-W14,ASSY-02,VLD,SU-SETUP,19
2026-W14,ASSY-02,VLD,SU-WARM,10
2026-W14,CNC-01,STW,BURR,2
2026-W14,CNC-01,STW,DIM-OOT,27
2026-W14,CNC-01,STW,SU-SETUP,4
2026-W14,CNC-01,STW,SU-WARM,3
2026-W14,CNC-01,STW,SURF,20
2026-W14,CNC-02,STW,BURR,2
2026-W14,CNC-02,STW,DIM-OOT,33
2026-W14,CNC-02,STW,SU-SETUP,2
2026-W14,CNC-02,STW,SU-WARM,2
2026-W14,CNC-02,STW,SURF,24
2026-W14,CNC-03,STW,BURR,3
2026-W14,CNC-03,STW,DIM-OOT,10
2026-W14,CNC-03,STW,SU-SETUP,1
2026-W14,CNC-03,STW,SURF,10
2026-W14,CNC-04,STW,BURR,1
2026-W14,CNC-04,STW,DIM-OOT,27
2026-W14,CNC-04,STW,SU-SETUP,6
2026-W14,CNC-04,STW,SU-WARM,3
2026-W14,CNC-04,STW,SURF,26
2026-W14,GRIND-01,STW,DIM-OOT,26
2026-W14,GRIND-01,STW,SU-SETUP,1
2026-W14,GRIND-01,STW,SU-WARM,1
2026-W14,GRIND-01,STW,SURF,24
2026-W14,LEAK-01,VLD,LEAK-FAIL,225
2026-W14,PACK-01,VLD,ASSY-MISS,85
2026-W14,PACK-01,VLD,SU-SETUP,773
2026-W14,PACK-01,VLD,SU-WARM,661
2026-W14,PACK-01,VLD,SURF,86
2026-W14,PRESS-01,BRM,BURR,571
2026-W14,PRESS-01,BRM,DIM-OOT,633
2026-W14,PRESS-01,BRM,SU-SETUP,130
2026-W14,PRESS-01,BRM,SU-WARM,116
2026-W14,PRESS-01,BRM,SURF,49
2026-W14,PRESS-02,BRM,BURR,398
2026-W14,PRESS-02,BRM,DIM-OOT,489
2026-W14,PRESS-02,BRM,SU-SETUP,246
2026-W14,PRESS-02,BRM,SU-WARM,213
2026-W14,PRESS-02,BRM,SURF,35
2026-W14,PRESS-03,BRM,BURR,688
2026-W14,PRESS-03,BRM,DIM-OOT,829
2026-W14,PRESS-03,BRM,SU-SETUP,168
2026-W14,PRESS-03,BRM,SU-WARM,170
2026-W14,PRESS-03,BRM,SURF,89
2026-W14,WELD-01,BRM,DIM-OOT,147
2026-W14,WELD-01,BRM,SU-SETUP,16
2026-W14,WELD-01,BRM,SU-WARM,14
2026-W14,WELD-01,BRM,WELD-POR,153
2026-W14,WELD-02,BRM,DIM-OOT,89
2026-W14,WELD-02,BRM,SU-SETUP,5
2026-W14,WELD-02,BRM,SU-WARM,6
2026-W14,WELD-02,BRM,WELD-POR,85
2026-W15,ASSY-01,VLD,ASSY-MISS,45
2026-W15,ASSY-01,VLD,DIM-OOT,45
2026-W15,ASSY-01,VLD,SU-SETUP,12
2026-W15,ASSY-01,VLD,SU-WARM,10
2026-W15,ASSY-02,VLD,ASSY-MISS,65
2026-W15,ASSY-02,VLD,DIM-OOT,53
2026-W15,ASSY-02,VLD,SU-SETUP,15
2026-W15,ASSY-02,VLD,SU-WARM,13
2026-W15,CNC-01,STW,DIM-OOT,30
2026-W15,CNC-01,STW,SURF,21
2026-W15,CNC-02,STW,DIM-OOT,26
2026-W15,CNC-02,STW,SU-SETUP,2
2026-W15,CNC-02,STW,SU-WARM,1
2026-W15,CNC-02,STW,SURF,25
2026-W15,CNC-03,STW,DIM-OOT,18
2026-W15,CNC-03,STW,SU-SETUP,1
2026-W15,CNC-03,STW,SURF,13
2026-W15,CNC-04,STW,BURR,2
2026-W15,CNC-04,STW,DIM-OOT,25
2026-W15,CNC-04,STW,SU-SETUP,4
2026-W15,CNC-04,STW,SU-WARM,2
2026-W15,CNC-04,STW,SURF,18
2026-W15,GRIND-01,STW,DIM-OOT,25
2026-W15,GRIND-01,STW,SU-SETUP,2
2026-W15,GRIND-01,STW,SURF,24
2026-W15,LEAK-01,VLD,LEAK-FAIL,209
2026-W15,LEAK-01,VLD,SU-SETUP,1
2026-W15,LEAK-01,VLD,SU-WARM,3
2026-W15,PACK-01,VLD,ASSY-MISS,92
2026-W15,PACK-01,VLD,SU-SETUP,612
2026-W15,PACK-01,VLD,SU-WARM,568
2026-W15,PACK-01,VLD,SURF,99
2026-W15,PRESS-01,BRM,BURR,538
2026-W15,PRESS-01,BRM,DIM-OOT,719
2026-W15,PRESS-01,BRM,SU-SETUP,91
2026-W15,PRESS-01,BRM,SU-WARM,102
2026-W15,PRESS-01,BRM,SURF,35
2026-W15,PRESS-02,BRM,BURR,467
2026-W15,PRESS-02,BRM,DIM-OOT,629
2026-W15,PRESS-02,BRM,SU-SETUP,331
2026-W15,PRESS-02,BRM,SU-WARM,331
2026-W15,PRESS-02,BRM,SURF,17
2026-W15,PRESS-03,BRM,BURR,756
2026-W15,PRESS-03,BRM,DIM-OOT,914
2026-W15,PRESS-03,BRM,SU-SETUP,312
2026-W15,PRESS-03,BRM,SU-WARM,267
2026-W15,PRESS-03,BRM,SURF,23
2026-W15,WELD-01,BRM,DIM-OOT,132
2026-W15,WELD-01,BRM,SU-SETUP,18
2026-W15,WELD-01,BRM,SU-WARM,11
2026-W15,WELD-01,BRM,WELD-POR,164
2026-W15,WELD-02,BRM,DIM-OOT,76
2026-W15,WELD-02,BRM,SU-SETUP,10
2026-W15,WELD-02,BRM,SU-WARM,11
2026-W15,WELD-02,BRM,WELD-POR,78
2026-W16,ASSY-01,VLD,ASSY-MISS,59
2026-W16,ASSY-01,VLD,DIM-OOT,49
2026-W16,ASSY-01,VLD,SU-SETUP,14
2026-W16,ASSY-01,VLD,SU-WARM,10
2026-W16,ASSY-02,VLD,ASSY-MISS,44
2026-W16,ASSY-02,VLD,DIM-OOT,56
2026-W16,ASSY-02,VLD,SU-SETUP,13
2026-W16,ASSY-02,VLD,SU-WARM,15
2026-W16,CNC-01,STW,BURR,3
2026-W16,CNC-01,STW,DIM-OOT,18
2026-W16,CNC-01,STW,SU-SETUP,8
2026-W16,CNC-01,STW,SU-WARM,4
2026-W16,CNC-01,STW,SURF,16
2026-W16,CNC-02,STW,BURR,1
2026-W16,CNC-02,STW,DIM-OOT,34
2026-W16,CNC-02,STW,SU-SETUP,3
2026-W16,CNC-02,STW,SU-WARM,5
2026-W16,CNC-02,STW,SURF,23
2026-W16,CNC-03,STW,BURR,3
2026-W16,CNC-03,STW,DIM-OOT,10
2026-W16,CNC-03,STW,SU-WARM,1
2026-W16,CNC-03,STW,SURF,8
2026-W16,CNC-04,STW,DIM-OOT,29
2026-W16,CNC-04,STW,SU-SETUP,4
2026-W16,CNC-04,STW,SU-WARM,5
2026-W16,CNC-04,STW,SURF,23
2026-W16,GRIND-01,STW,DIM-OOT,25
2026-W16,GRIND-01,STW,SU-SETUP,3
2026-W16,GRIND-01,STW,SU-WARM,4
2026-W16,GRIND-01,STW,SURF,24
2026-W16,LEAK-01,VLD,LEAK-FAIL,212
2026-W16,LEAK-01,VLD,SU-SETUP,6
2026-W16,LEAK-01,VLD,SU-WARM,11
2026-W16,PACK-01,VLD,ASSY-MISS,63
2026-W16,PACK-01,VLD,SU-SETUP,696
2026-W16,PACK-01,VLD,SU-WARM,715
2026-W16,PACK-01,VLD,SURF,50
2026-W16,PRESS-01,BRM,BURR,567
2026-W16,PRESS-01,BRM,DIM-OOT,694
2026-W16,PRESS-01,BRM,SU-SETUP,59
2026-W16,PRESS-01,BRM,SU-WARM,81
2026-W16,PRESS-01,BRM,SURF,38
2026-W16,PRESS-02,BRM,BURR,436
2026-W16,PRESS-02,BRM,DIM-OOT,580
2026-W16,PRESS-02,BRM,SU-SETUP,363
2026-W16,PRESS-02,BRM,SU-WARM,282
2026-W16,PRESS-02,BRM,SURF,65
2026-W16,PRESS-03,BRM,BURR,673
2026-W16,PRESS-03,BRM,DIM-OOT,710
2026-W16,PRESS-03,BRM,SU-SETUP,186
2026-W16,PRESS-03,BRM,SU-WARM,185
2026-W16,PRESS-03,BRM,SURF,22
2026-W16,WELD-01,BRM,DIM-OOT,149
2026-W16,WELD-01,BRM,SU-SETUP,18
2026-W16,WELD-01,BRM,SU-WARM,8
2026-W16,WELD-01,BRM,WELD-POR,177
2026-W16,WELD-02,BRM,DIM-OOT,87
2026-W16,WELD-02,BRM,SU-SETUP,11
2026-W16,WELD-02,BRM,SU-WARM,10
2026-W16,WELD-02,BRM,WELD-POR,102
2026-W17,ASSY-01,VLD,ASSY-MISS,60
2026-W17,ASSY-01,VLD,DIM-OOT,47
2026-W17,ASSY-01,VLD,SU-SETUP,15
2026-W17,ASSY-01,VLD,SU-WARM,13
2026-W17,ASSY-02,VLD,ASSY-MISS,48
2026-W17,ASSY-02,VLD,DIM-OOT,44
2026-W17,ASSY-02,VLD,SU-SETUP,9
2026-W17,ASSY-02,VLD,SU-WARM,10
2026-W17,CNC-01,STW,DIM-OOT,34
2026-W17,CNC-01,STW,SU-SETUP,4
2026-W17,CNC-01,STW,SU-WARM,5
2026-W17,CNC-01,STW,SURF,25
2026-W17,CNC-02,STW,BURR,6
2026-W17,CNC-02,STW,DIM-OOT,31
2026-W17,CNC-02,STW,SU-SETUP,3
2026-W17,CNC-02,STW,SU-WARM,2
2026-W17,CNC-02,STW,SURF,28
2026-W17,CNC-03,STW,BURR,3
2026-W17,CNC-03,STW,DIM-OOT,11
2026-W17,CNC-03,STW,SU-SETUP,1
2026-W17,CNC-03,STW,SURF,10
2026-W17,CNC-04,STW,BURR,3
2026-W17,CNC-04,STW,DIM-OOT,32
2026-W17,CNC-04,STW,SU-SETUP,1
2026-W17,CNC-04,STW,SU-WARM,1
2026-W17,CNC-04,STW,SURF,25
2026-W17,GRIND-01,STW,DIM-OOT,23
2026-W17,GRIND-01,STW,SU-SETUP,1
2026-W17,GRIND-01,STW,SU-WARM,2
2026-W17,GRIND-01,STW,SURF,22
2026-W17,LEAK-01,VLD,LEAK-FAIL,216
2026-W17,LEAK-01,VLD,SU-SETUP,8
2026-W17,LEAK-01,VLD,SU-WARM,8
2026-W17,PACK-01,VLD,ASSY-MISS,96
2026-W17,PACK-01,VLD,SU-SETUP,786
2026-W17,PACK-01,VLD,SU-WARM,651
2026-W17,PACK-01,VLD,SURF,81
2026-W17,PRESS-01,BRM,BURR,506
2026-W17,PRESS-01,BRM,DIM-OOT,634
2026-W17,PRESS-01,BRM,SU-SETUP,156
2026-W17,PRESS-01,BRM,SU-WARM,137
2026-W17,PRESS-01,BRM,SURF,62
2026-W17,PRESS-02,BRM,BURR,364
2026-W17,PRESS-02,BRM,DIM-OOT,484
2026-W17,PRESS-02,BRM,SU-SETUP,311
2026-W17,PRESS-02,BRM,SU-WARM,255
2026-W17,PRESS-02,BRM,SURF,14
2026-W17,PRESS-03,BRM,BURR,806
2026-W17,PRESS-03,BRM,DIM-OOT,936
2026-W17,PRESS-03,BRM,SU-SETUP,278
2026-W17,PRESS-03,BRM,SU-WARM,259
2026-W17,PRESS-03,BRM,SURF,78
2026-W17,WELD-01,BRM,DIM-OOT,154
2026-W17,WELD-01,BRM,SU-SETUP,15
2026-W17,WELD-01,BRM,SU-WARM,11
2026-W17,WELD-01,BRM,WELD-POR,157
2026-W17,WELD-02,BRM,DIM-OOT,102
2026-W17,WELD-02,BRM,SU-SETUP,12
2026-W17,WELD-02,BRM,SU-WARM,10
2026-W17,WELD-02,BRM,WELD-POR,126
2026-W18,ASSY-01,VLD,ASSY-MISS,51
2026-W18,ASSY-01,VLD,DIM-OOT,41
2026-W18,ASSY-01,VLD,SU-SETUP,8
2026-W18,ASSY-01,VLD,SU-WARM,9
2026-W18,ASSY-02,VLD,ASSY-MISS,47
2026-W18,ASSY-02,VLD,DIM-OOT,47
2026-W18,ASSY-02,VLD,SU-SETUP,24
2026-W18,ASSY-02,VLD,SU-WARM,17
2026-W18,CNC-01,STW,BURR,3
2026-W18,CNC-01,STW,DIM-OOT,26
2026-W18,CNC-01,STW,SU-SETUP,7
2026-W18,CNC-01,STW,SU-WARM,6
2026-W18,CNC-01,STW,SURF,20
2026-W18,CNC-02,STW,BURR,3
2026-W18,CNC-02,STW,DIM-OOT,27
2026-W18,CNC-02,STW,SU-SETUP,4
2026-W18,CNC-02,STW,SU-WARM,3
2026-W18,CNC-02,STW,SURF,22
2026-W18,CNC-03,STW,DIM-OOT,11
2026-W18,CNC-03,STW,SU-SETUP,1
2026-W18,CNC-03,STW,SURF,7
2026-W18,CNC-04,STW,BURR,1
2026-W18,CNC-04,STW,DIM-OOT,20
2026-W18,CNC-04,STW,SU-SETUP,1
2026-W18,CNC-04,STW,SU-WARM,2
2026-W18,CNC-04,STW,SURF,16
2026-W18,GRIND-01,STW,DIM-OOT,25
2026-W18,GRIND-01,STW,SURF,26
2026-W18,LEAK-01,VLD,LEAK-FAIL,213
2026-W18,LEAK-01,VLD,SU-SETUP,3
2026-W18,LEAK-01,VLD,SU-WARM,5
2026-W18,PACK-01,VLD,ASSY-MISS,88
2026-W18,PACK-01,VLD,SU-SETUP,820
2026-W18,PACK-01,VLD,SU-WARM,808
2026-W18,PACK-01,VLD,SURF,81
2026-W18,PRESS-01,BRM,BURR,531
2026-W18,PRESS-01,BRM,DIM-OOT,564
2026-W18,PRESS-01,BRM,SU-SETUP,156
2026-W18,PRESS-01,BRM,SU-WARM,130
2026-W18,PRESS-01,BRM,SURF,86
2026-W18,PRESS-02,BRM,BURR,286
2026-W18,PRESS-02,BRM,DIM-OOT,335
2026-W18,PRESS-02,BRM,SU-SETUP,262
2026-W18,PRESS-02,BRM,SU-WARM,232
2026-W18,PRESS-02,BRM,SURF,21
2026-W18,PRESS-03,BRM,BURR,645
2026-W18,PRESS-03,BRM,DIM-OOT,798
2026-W18,PRESS-03,BRM,SU-SETUP,162
2026-W18,PRESS-03,BRM,SU-WARM,179
2026-W18,PRESS-03,BRM,SURF,35
2026-W18,WELD-01,BRM,DIM-OOT,130
2026-W18,WELD-01,BRM,SU-SETUP,10
2026-W18,WELD-01,BRM,SU-WARM,10
2026-W18,WELD-01,BRM,WELD-POR,167
2026-W18,WELD-02,BRM,DIM-OOT,77
2026-W18,WELD-02,BRM,SU-SETUP,1
2026-W18,WELD-02,BRM,SU-WARM,1
2026-W18,WELD-02,BRM,WELD-POR,95
2026-W19,ASSY-01,VLD,ASSY-MISS,43
2026-W19,ASSY-01,VLD,DIM-OOT,47
2026-W19,ASSY-01,VLD,SU-SETUP,19
2026-W19,ASSY-01,VLD,SU-WARM,16
2026-W19,ASSY-02,VLD,ASSY-MISS,60
2026-W19,ASSY-02,VLD,DIM-OOT,49
2026-W19,ASSY-02,VLD,SU-SETUP,12
2026-W19,ASSY-02,VLD,SU-WARM,9
2026-W19,CNC-01,STW,DIM-OOT,27
2026-W19,CNC-01,STW,SU-SETUP,2
2026-W19,CNC-01,STW,SU-WARM,1
2026-W19,CNC-01,STW,SURF,24
2026-W19,CNC-02,STW,BURR,1
2026-W19,CNC-02,STW,DIM-OOT,27
2026-W19,CNC-02,STW,SU-SETUP,1
2026-W19,CNC-02,STW,SU-WARM,2
2026-W19,CNC-02,STW,SURF,21
2026-W19,CNC-03,STW,BURR,3
2026-W19,CNC-03,STW,DIM-OOT,12
2026-W19,CNC-03,STW,SU-SETUP,1
2026-W19,CNC-03,STW,SU-WARM,1
2026-W19,CNC-03,STW,SURF,11
2026-W19,CNC-04,STW,BURR,1
2026-W19,CNC-04,STW,DIM-OOT,28
2026-W19,CNC-04,STW,SU-SETUP,7
2026-W19,CNC-04,STW,SU-WARM,4
2026-W19,CNC-04,STW,SURF,25
2026-W19,GRIND-01,STW,DIM-OOT,27
