event_id,event_date,shift,machine_id,plant_id,reason_code,duration_min
EV-014759,2026-06-03,C,WELD-01,BRM,JAM,0.8
EV-014760,2026-06-03,C,WELD-01,BRM,SENSOR,3.2
EV-014761,2026-06-03,C,WELD-01,BRM,MINOR-ADJ,0.9
EV-014762,2026-06-03,C,WELD-01,BRM,JAM,4.0
EV-014763,2026-06-03,C,WELD-01,BRM,MISFEED,1.0
EV-014764,2026-06-03,C,WELD-01,BRM,JAM,1.4
EV-014765,2026-06-03,C,WELD-02,BRM,ADJ-TOOL,8.1
EV-014766,2026-06-03,C,WELD-02,BRM,BRK-HYD,64.0
EV-014767,2026-06-03,C,WELD-02,BRM,BRK-HYD,45.6
EV-014768,2026-06-03,C,WELD-02,BRM,MINOR-ADJ,2.7
EV-014769,2026-06-03,C,WELD-02,BRM,SENSOR,4.4
EV-014770,2026-06-03,A,CNC-01,STW,PM-PLAN,35.8
EV-014771,2026-06-03,A,CNC-01,STW,BRK-TOOL,29.1
EV-014772,2026-06-03,A,CNC-01,STW,BLOCK,17.5
EV-014773,2026-06-03,A,CNC-01,STW,BRK-MECH,30.5
EV-014774,2026-06-03,A,CNC-02,STW,CHG-OVER,24.3
EV-014775,2026-06-03,A,CNC-02,STW,ADJ-TOOL,11.1
EV-014776,2026-06-03,A,CNC-02,STW,NO-OP,23.6
EV-014777,2026-06-03,A,CNC-02,STW,NO-OP,20.9
EV-014778,2026-06-03,A,CNC-02,STW,CHIP-CLR,1.6
EV-014779,2026-06-03,A,CNC-02,STW,CHIP-CLR,2.6
EV-014780,2026-06-03,A,CNC-03,STW,STARVE,121.8
EV-014781,2026-06-03,A,CNC-03,STW,ADJ-TOOL,14.6
EV-014782,2026-06-03,A,CNC-03,STW,QA-CHECK,11.2
EV-014783,2026-06-03,A,CNC-03,STW,STARVE,25.4
EV-014784,2026-06-03,A,CNC-03,STW,NO-OP,35.6
EV-014785,2026-06-03,A,CNC-03,STW,NO-OP,47.3
EV-014786,2026-06-03,A,CNC-03,STW,STARVE,42.1
EV-014787,2026-06-03,A,CNC-04,STW,CHG-OVER,27.9
EV-014788,2026-06-03,A,CNC-04,STW,BRK-ELEC,37.9
EV-014789,2026-06-03,A,CNC-04,STW,SENSOR,2.0
EV-014790,2026-06-03,A,GRIND-01,STW,CHG-OVER,44.1
EV-014791,2026-06-03,A,GRIND-01,STW,PM-PLAN,32.6
EV-014792,2026-06-03,A,GRIND-01,STW,BRK-TOOL,33.0
EV-014793,2026-06-03,A,GRIND-01,STW,BLOCK,38.0
EV-014794,2026-06-03,A,GRIND-01,STW,JAM,4.5
EV-014795,2026-06-03,A,GRIND-01,STW,MINOR-ADJ,4.3
EV-014796,2026-06-03,B,CNC-01,STW,BRK-ELEC,33.5
EV-014797,2026-06-03,B,CNC-01,STW,BRK-HYD,23.6
EV-014798,2026-06-03,B,CNC-01,STW,BRK-HYD,13.9
EV-014799,2026-06-03,B,CNC-02,STW,CHG-OVER,24.9
EV-014800,2026-06-03,B,CNC-02,STW,QA-CHECK,11.2
EV-014801,2026-06-03,B,CNC-02,STW,BRK-ELEC,32.1
EV-014802,2026-06-03,B,CNC-02,STW,BLOCK,40.6
EV-014803,2026-06-03,B,CNC-02,STW,BRK-MECH,19.8
EV-014804,2026-06-03,B,CNC-02,STW,MINOR-ADJ,4.1
EV-014805,2026-06-03,B,CNC-03,STW,CHG-OVER,33.7
EV-014806,2026-06-03,B,CNC-03,STW,CHG-OVER,27.7
EV-014807,2026-06-03,B,CNC-03,STW,NO-OP,57.4
EV-014808,2026-06-03,B,CNC-03,STW,STARVE,36.3
EV-014809,2026-06-03,B,CNC-03,STW,STARVE,38.8
EV-014810,2026-06-03,B,CNC-03,STW,STARVE,36.1
EV-014811,2026-06-03,B,CNC-03,STW,NO-OP,20.5
EV-014812,2026-06-03,B,CNC-03,STW,STARVE,41.0
EV-014813,2026-06-03,B,CNC-04,STW,BRK-TOOL,18.7
EV-014814,2026-06-03,B,CNC-04,STW,BRK-ELEC,46.9
EV-014815,2026-06-03,B,CNC-04,STW,CHIP-CLR,0.5
EV-014816,2026-06-03,B,GRIND-01,STW,CHG-OVER,43.6
EV-014817,2026-06-03,B,GRIND-01,STW,ADJ-TOOL,14.6
EV-014818,2026-06-03,B,GRIND-01,STW,QA-CHECK,18.6
EV-014819,2026-06-03,B,GRIND-01,STW,NO-OP,20.4
EV-014820,2026-06-03,B,GRIND-01,STW,SENSOR,3.3
EV-014821,2026-06-03,C,CNC-01,STW,BRK-MECH,31.7
EV-014822,2026-06-03,C,CNC-01,STW,BLOCK,75.3
EV-014823,2026-06-03,C,CNC-01,STW,MINOR-ADJ,4.2
EV-014824,2026-06-03,C,CNC-01,STW,MISFEED,2.4
EV-014825,2026-06-03,C,CNC-02,STW,CHG-OVER,24.3
EV-014826,2026-06-03,C,CNC-02,STW,CHG-OVER,29.9
EV-014827,2026-06-03,C,CNC-02,STW,NO-OP,30.4
EV-014828,2026-06-03,C,CNC-02,STW,BRK-MECH,57.1
EV-014829,2026-06-03,C,CNC-03,STW,BRK-TOOL,83.2
EV-014830,2026-06-03,C,CNC-03,STW,STARVE,110.3
EV-014831,2026-06-03,C,CNC-03,STW,STARVE,138.2
EV-014832,2026-06-03,C,CNC-03,STW,ADJ-TOOL,13.3
EV-014833,2026-06-03,C,CNC-03,STW,STARVE,16.2
EV-014834,2026-06-03,C,CNC-03,STW,JAM,3.0
EV-014835,2026-06-03,C,CNC-04,STW,ADJ-TOOL,11.8
EV-014836,2026-06-03,C,CNC-04,STW,BRK-HYD,36.6
EV-014837,2026-06-03,C,CNC-04,STW,BRK-TOOL,16.3
EV-014838,2026-06-03,C,CNC-04,STW,MISFEED,2.4
EV-014839,2026-06-03,C,GRIND-01,STW,CLEAN,22.5
EV-014840,2026-06-03,C,GRIND-01,STW,BRK-MECH,45.0
EV-014841,2026-06-03,C,GRIND-01,STW,BRK-MECH,33.2
EV-014842,2026-06-03,C,GRIND-01,STW,BRK-MECH,46.5
EV-014843,2026-06-03,A,ASSY-01,VLD,BLOCK,29.3
EV-014844,2026-06-03,A,ASSY-01,VLD,BRK-HYD,21.0
EV-014845,2026-06-03,A,ASSY-01,VLD,NO-OP,37.6
EV-014846,2026-06-03,A,ASSY-01,VLD,MINOR-ADJ,2.2
EV-014847,2026-06-03,A,ASSY-01,VLD,SENSOR,2.6
EV-014848,2026-06-03,A,ASSY-02,VLD,BRK-ELEC,45.0
EV-014849,2026-06-03,A,ASSY-02,VLD,BRK-MECH,40.2
EV-014850,2026-06-03,A,ASSY-02,VLD,BLOCK,14.5
EV-014851,2026-06-03,A,ASSY-02,VLD,CHIP-CLR,3.3
EV-014852,2026-06-03,A,LEAK-01,VLD,QA-CHECK,17.6
EV-014853,2026-06-03,A,LEAK-01,VLD,BRK-TOOL,27.9
EV-014854,2026-06-03,A,LEAK-01,VLD,BRK-TOOL,18.9
EV-014855,2026-06-03,A,LEAK-01,VLD,BRK-ELEC,27.8
EV-014856,2026-06-03,A,LEAK-01,VLD,SENSOR,3.8
EV-014857,2026-06-03,A,PACK-01,VLD,CHG-OVER,25.9
EV-014858,2026-06-03,A,PACK-01,VLD,BRK-MECH,47.4
EV-014859,2026-06-03,A,PACK-01,VLD,SENSOR,2.9
EV-014860,2026-06-03,B,ASSY-01,VLD,CHG-OVER,34.7
EV-014861,2026-06-03,B,ASSY-01,VLD,QA-CHECK,18.0
EV-014862,2026-06-03,B,ASSY-01,VLD,BRK-ELEC,20.9
EV-014863,2026-06-03,B,ASSY-01,VLD,SENSOR,3.5
EV-014864,2026-06-03,B,ASSY-01,VLD,JAM,3.7
EV-014865,2026-06-03,B,ASSY-01,VLD,MISFEED,1.1
EV-014866,2026-06-03,B,ASSY-02,VLD,CHG-OVER,48.2
EV-014867,2026-06-03,B,ASSY-02,VLD,BRK-HYD,17.2
EV-014868,2026-06-03,B,ASSY-02,VLD,BRK-TOOL,41.3
EV-014869,2026-06-03,B,ASSY-02,VLD,NO-OP,23.5
EV-014870,2026-06-03,B,LEAK-01,VLD,PM-PLAN,69.9
EV-014871,2026-06-03,B,LEAK-01,VLD,QA-CHECK,15.5
EV-014872,2026-06-03,B,LEAK-01,VLD,SENSOR,2.9
EV-014873,2026-06-03,B,LEAK-01,VLD,CHIP-CLR,3.2
EV-014874,2026-06-03,B,PACK-01,VLD,CHG-OVER,14.1
EV-014875,2026-06-03,B,PACK-01,VLD,BLOCK,27.7
EV-014876,2026-06-03,B,PACK-01,VLD,BRK-MECH,37.7
EV-014877,2026-06-04,A,PRESS-01,BRM,CHG-OVER,55.3
EV-014878,2026-06-04,A,PRESS-01,BRM,BLOCK,55.8
EV-014879,2026-06-04,A,PRESS-02,BRM,CHG-OVER,79.8
EV-014880,2026-06-04,A,PRESS-02,BRM,CHG-OVER,75.3
EV-014881,2026-06-04,A,PRESS-02,BRM,CHG-OVER,103.5
EV-014882,2026-06-04,A,PRESS-03,BRM,PM-PLAN,73.3
EV-014883,2026-06-04,A,PRESS-03,BRM,QA-CHECK,9.9
EV-014884,2026-06-04,A,PRESS-03,BRM,BLOCK,15.9
EV-014885,2026-06-04,A,PRESS-03,BRM,BRK-TOOL,12.7
EV-014886,2026-06-04,A,WELD-01,BRM,BRK-HYD,29.3
EV-014887,2026-06-04,A,WELD-01,BRM,BRK-ELEC,15.3
EV-014888,2026-06-04,A,WELD-01,BRM,MINOR-ADJ,1.0
EV-014889,2026-06-04,A,WELD-01,BRM,CHIP-CLR,2.1
EV-014890,2026-06-04,A,WELD-01,BRM,SENSOR,0.9
EV-014891,2026-06-04,A,WELD-01,BRM,MISFEED,3.6
EV-014892,2026-06-04,A,WELD-01,BRM,MISFEED,3.5
EV-014893,2026-06-04,A,WELD-01,BRM,MISFEED,1.5
EV-014894,2026-06-04,A,WELD-01,BRM,SENSOR,1.0
EV-014895,2026-06-04,A,WELD-01,BRM,MISFEED,0.6
EV-014896,2026-06-04,A,WELD-01,BRM,CHIP-CLR,1.4
EV-014897,2026-06-04,A,WELD-01,BRM,MISFEED,4.0
EV-014898,2026-06-04,A,WELD-01,BRM,CHIP-CLR,3.8
EV-014899,2026-06-04,A,WELD-01,BRM,MINOR-ADJ,1.2
EV-014900,2026-06-04,A,WELD-01,BRM,MISFEED,3.1
EV-014901,2026-06-04,A,WELD-02,BRM,CHG-OVER,20.3
EV-014902,2026-06-04,A,WELD-02,BRM,ADJ-TOOL,8.6
EV-014903,2026-06-04,A,WELD-02,BRM,CLEAN,19.1
EV-014904,2026-06-04,A,WELD-02,BRM,BRK-ELEC,30.3
EV-014905,2026-06-04,B,PRESS-01,BRM,BRK-HYD,53.5
EV-014906,2026-06-04,B,PRESS-01,BRM,QA-CHECK,17.3
EV-014907,2026-06-04,B,PRESS-01,BRM,BLOCK,57.5
EV-014908,2026-06-04,B,PRESS-01,BRM,BRK-HYD,37.8
EV-014909,2026-06-04,B,PRESS-01,BRM,BRK-HYD,26.1
EV-014910,2026-06-04,B,PRESS-02,BRM,CHG-OVER,80.9
EV-014911,2026-06-04,B,PRESS-02,BRM,CHG-OVER,73.9
EV-014912,2026-06-04,B,PRESS-02,BRM,CLEAN,18.0
EV-014913,2026-06-04,B,PRESS-03,BRM,BRK-TOOL,10.6
EV-014914,2026-06-04,B,PRESS-03,BRM,BLOCK,41.8
EV-014915,2026-06-04,B,PRESS-03,BRM,BRK-HYD,20.6
EV-014916,2026-06-04,B,WELD-01,BRM,BLOCK,48.1
EV-014917,2026-06-04,B,WELD-01,BRM,SENSOR,4.3
EV-014918,2026-06-04,B,WELD-01,BRM,JAM,3.2
EV-014919,2026-06-04,B,WELD-01,BRM,SENSOR,1.2
EV-014920,2026-06-04,B,WELD-01,BRM,JAM,3.5
EV-014921,2026-06-04,B,WELD-01,BRM,SENSOR,3.0
EV-014922,2026-06-04,B,WELD-01,BRM,CHIP-CLR,1.5
EV-014923,2026-06-04,B,WELD-01,BRM,SENSOR,1.0
EV-014924,2026-06-04,B,WELD-01,BRM,JAM,3.4
EV-014925,2026-06-04,B,WELD-01,BRM,JAM,0.9
EV-014926,2026-06-04,B,WELD-01,BRM,CHIP-CLR,4.0
EV-014927,2026-06-04,B,WELD-01,BRM,MINOR-ADJ,2.1
EV-014928,2026-06-04,B,WELD-01,BRM,SENSOR,1.4
EV-014929,2026-06-04,B,WELD-01,BRM,MISFEED,0.6
EV-014930,2026-06-04,B,WELD-01,BRM,JAM,4.0
EV-014931,2026-06-04,B,WELD-01,BRM,CHIP-CLR,2.6
EV-014932,2026-06-04,B,WELD-01,BRM,JAM,4.4
EV-014933,2026-06-04,B,WELD-01,BRM,SENSOR,4.1
EV-014934,2026-06-04,B,WELD-01,BRM,MISFEED,2.4
EV-014935,2026-06-04,B,WELD-01,BRM,MINOR-ADJ,0.5
EV-014936,2026-06-04,B,WELD-01,BRM,MINOR-ADJ,2.9
EV-014937,2026-06-04,B,WELD-01,BRM,SENSOR,2.3
EV-014938,2026-06-04,B,WELD-01,BRM,SENSOR,4.5
EV-014939,2026-06-04,B,WELD-02,BRM,PM-PLAN,53.3
EV-014940,2026-06-04,B,WELD-02,BRM,QA-CHECK,19.4
EV-014941,2026-06-04,B,WELD-02,BRM,BRK-MECH,22.8
EV-014942,2026-06-04,B,WELD-02,BRM,JAM,4.2
EV-014943,2026-06-04,B,WELD-02,BRM,CHIP-CLR,3.7
EV-014944,2026-06-04,B,WELD-02,BRM,CHIP-CLR,0.6
EV-014945,2026-06-04,C,PRESS-01,BRM,ADJ-TOOL,10.1
EV-014946,2026-06-04,C,PRESS-01,BRM,BRK-HYD,167.4
EV-014947,2026-06-04,C,PRESS-01,BRM,BRK-TOOL,32.6
EV-014948,2026-06-04,C,PRESS-02,BRM,CHG-OVER,94.6
EV-014949,2026-06-04,C,PRESS-02,BRM,CHG-OVER,89.4
EV-014950,2026-06-04,C,PRESS-02,BRM,CHG-OVER,86.1
EV-014951,2026-06-04,C,PRESS-02,BRM,ADJ-TOOL,12.7
EV-014952,2026-06-04,C,PRESS-02,BRM,QA-CHECK,11.2
EV-014953,2026-06-04,C,PRESS-03,BRM,CLEAN,12.3
EV-014954,2026-06-04,C,PRESS-03,BRM,BRK-TOOL,127.9
EV-014955,2026-06-04,C,PRESS-03,BRM,BRK-ELEC,14.2
EV-014956,2026-06-04,C,WELD-01,BRM,CHG-OVER,26.0
EV-014957,2026-06-04,C,WELD-01,BRM,ADJ-TOOL,12.5
EV-014958,2026-06-04,C,WELD-01,BRM,BRK-HYD,38.8
EV-014959,2026-06-04,C,WELD-01,BRM,JAM,3.5
EV-014960,2026-06-04,C,WELD-01,BRM,CHIP-CLR,1.1
EV-014961,2026-06-04,C,WELD-01,BRM,SENSOR,1.3
EV-014962,2026-06-04,C,WELD-01,BRM,MISFEED,4.4
EV-014963,2026-06-04,C,WELD-01,BRM,JAM,1.0
EV-014964,2026-06-04,C,WELD-01,BRM,JAM,2.3
EV-014965,2026-06-04,C,WELD-01,BRM,CHIP-CLR,4.0
EV-014966,2026-06-04,C,WELD-01,BRM,MINOR-ADJ,1.0
EV-014967,2026-06-04,C,WELD-01,BRM,CHIP-CLR,2.4
EV-014968,2026-06-04,C,WELD-01,BRM,CHIP-CLR,0.6
EV-014969,2026-06-04,C,WELD-02,BRM,BRK-MECH,74.0
EV-014970,2026-06-04,C,WELD-02,BRM,BLOCK,22.7
EV-014971,2026-06-04,A,CNC-01,STW,QA-CHECK,8.3
EV-014972,2026-06-04,A,CNC-01,STW,CLEAN,20.7
EV-014973,2026-06-04,A,CNC-01,STW,BRK-ELEC,26.2
EV-014974,2026-06-04,A,CNC-01,STW,NO-OP,22.7
EV-014975,2026-06-04,A,CNC-01,STW,BRK-HYD,19.9
EV-014976,2026-06-04,A,CNC-02,STW,BRK-TOOL,53.2
EV-014977,2026-06-04,A,CNC-02,STW,BRK-MECH,53.6
EV-014978,2026-06-04,A,CNC-02,STW,MISFEED,1.2
EV-014979,2026-06-04,A,CNC-03,STW,STARVE,148.3
EV-014980,2026-06-04,A,CNC-03,STW,ADJ-TOOL,9.1
EV-014981,2026-06-04,A,CNC-03,STW,STARVE,24.9
EV-014982,2026-06-04,A,CNC-04,STW,BLOCK,59.5
EV-014983,2026-06-04,A,CNC-04,STW,ADJ-TOOL,12.3
EV-014984,2026-06-04,A,CNC-04,STW,BRK-ELEC,23.0
EV-014985,2026-06-04,A,GRIND-01,STW,ADJ-TOOL,14.2
EV-014986,2026-06-04,A,GRIND-01,STW,CLEAN,11.5
EV-014987,2026-06-04,A,GRIND-01,STW,BRK-ELEC,36.0
EV-014988,2026-06-04,A,GRIND-01,STW,BRK-TOOL,16.8
EV-014989,2026-06-04,A,GRIND-01,STW,BRK-TOOL,52.7
EV-014990,2026-06-04,B,CNC-01,STW,ADJ-TOOL,8.5
EV-014991,2026-06-04,B,CNC-01,STW,BLOCK,22.2
EV-014992,2026-06-04,B,CNC-01,STW,BRK-MECH,17.9
EV-014993,2026-06-04,B,CNC-01,STW,NO-OP,28.2
EV-014994,2026-06-04,B,CNC-02,STW,CHG-OVER,30.8
EV-014995,2026-06-04,B,CNC-02,STW,CHG-OVER,36.5
EV-014996,2026-06-04,B,CNC-02,STW,PM-PLAN,39.8
EV-014997,2026-06-04,B,CNC-02,STW,BRK-MECH,21.0
EV-014998,2026-06-04,B,CNC-03,STW,STARVE,131.0
EV-014999,2026-06-04,B,CNC-03,STW,STARVE,134.4
EV-015000,2026-06-04,B,CNC-03,STW,STARVE,53.5
EV-015001,2026-06-04,B,CNC-03,STW,STARVE,99.6
EV-015002,2026-06-04,B,CNC-03,STW,CHIP-CLR,0.6
EV-015003,2026-06-04,B,CNC-04,STW,BRK-MECH,21.1
EV-015004,2026-06-04,B,CNC-04,STW,BRK-ELEC,46.3
EV-015005,2026-06-04,B,CNC-04,STW,BRK-TOOL,24.0
EV-015006,2026-06-04,B,GRIND-01,STW,ADJ-TOOL,6.7
EV-015007,2026-06-04,B,GRIND-01,STW,NO-OP,26.8
EV-015008,2026-06-04,B,GRIND-01,STW,BLOCK,35.6
EV-015009,2026-06-04,B,GRIND-01,STW,BRK-MECH,39.6
EV-015010,2026-06-04,C,CNC-01,STW,CHG-OVER,31.7
EV-015011,2026-06-04,C,CNC-01,STW,CHG-OVER,37.8
EV-015012,2026-06-04,C,CNC-01,STW,ADJ-TOOL,11.7
EV-015013,2026-06-04,C,CNC-01,STW,BRK-MECH,16.4
EV-015014,2026-06-04,C,CNC-01,STW,CHIP-CLR,1.1
EV-015015,2026-06-04,C,CNC-01,STW,MINOR-ADJ,1.7
EV-015016,2026-06-04,C,CNC-02,STW,PM-PLAN,43.2
EV-015017,2026-06-04,C,CNC-02,STW,BRK-ELEC,53.8
EV-015018,2026-06-04,C,CNC-02,STW,BRK-TOOL,25.1
EV-015019,2026-06-04,C,CNC-02,STW,BLOCK,16.6
EV-015020,2026-06-04,C,CNC-02,STW,MINOR-ADJ,3.4
EV-015021,2026-06-04,C,CNC-02,STW,MINOR-ADJ,3.3
EV-015022,2026-06-04,C,CNC-03,STW,NO-OP,48.8
EV-015023,2026-06-04,C,CNC-03,STW,STARVE,125.6
EV-015024,2026-06-04,C,CNC-03,STW,STARVE,55.9
EV-015025,2026-06-04,C,CNC-03,STW,CHG-OVER,30.5
EV-015026,2026-06-04,C,CNC-03,STW,NO-OP,50.9
EV-015027,2026-06-04,C,CNC-03,STW,SENSOR,3.4
EV-015028,2026-06-04,C,CNC-04,STW,NO-OP,19.7
EV-015029,2026-06-04,C,CNC-04,STW,NO-OP,25.9
EV-015030,2026-06-04,C,CNC-04,STW,BLOCK,22.8
EV-015031,2026-06-04,C,GRIND-01,STW,BLOCK,13.0
EV-015032,2026-06-04,C,GRIND-01,STW,BRK-MECH,41.4
EV-015033,2026-06-04,C,GRIND-01,STW,BRK-HYD,59.9
EV-015034,2026-06-04,C,GRIND-01,STW,NO-OP,38.6
EV-015035,2026-06-04,C,GRIND-01,STW,BRK-MECH,19.2
EV-015036,2026-06-04,A,ASSY-01,VLD,CHG-OVER,30.0
